# секунда	частота	CPU мс	GPU мс	draw calls
0	72.0	0.266	3.035	1600
1	72.0	1.673	10.534	1600
2	72.0	1.607	10.811	1600
3	72.0	1.584	10.789	1600
4	72.0	1.844	10.706	1600
5	72.0	1.735	10.553	1600
6	72.0	1.766	10.518	1600
7	72.0	1.711	10.618	1600
8	72.0	1.670	10.922	1600
9	72.0	1.616	10.746	1600
10	72.0	1.634	10.867	1600
11	72.0	1.740	10.957	1600
12	72.0	1.696	11.050	1600
13	72.0	1.623	11.199	1600
14	72.0	1.701	10.872	1600
15	72.0	1.800	10.859	1600
16	72.0	1.581	10.699	1600
17	72.0	1.635	10.680	1600
18	72.0	1.818	10.932	1600
19	72.0	1.804	10.893	1600
20	72.0	1.879	11.355	1600
21	72.0	1.675	10.971	1600
22	72.0	1.872	11.103	1600
23	72.0	1.743	10.497	1600
24	72.0	1.783	10.895	1600
25	72.0	1.787	10.713	1600
26	72.0	1.661	10.459	1600
27	72.0	1.657	10.500	1600
28	72.0	1.616	10.245	1600
29	72.0	1.634	10.800	1600
30	72.0	1.605	10.562	1600
31	72.0	1.568	10.592	1600
32	72.0	1.746	10.917	1600
33	72.0	1.590	10.172	1600
34	72.0	1.808	11.011	1600
35	72.0	1.640	10.572	1600
36	72.0	1.666	10.519	1600
37	72.0	1.658	10.654	1600
38	72.0	1.781	10.961	1600
39	72.0	1.588	10.378	1600
40	72.0	1.652	10.569	1600
41	72.0	2.021	9.729	1600
42	72.0	1.575	10.729	1600
43	72.0	1.691	10.685	1600
44	72.0	1.595	10.714	1600
45	72.0	1.593	10.631	1600
46	72.0	1.637	10.617	1600
47	72.0	1.627	10.513	1600
48	72.0	1.590	10.570	1600
49	72.0	1.682	10.663	1600
50	72.0	1.716	11.217	1600
51	72.0	1.588	10.234	1600
52	72.0	1.744	10.421	1600
53	72.0	1.970	11.442	1600
54	72.0	1.520	8.409	1600
55	72.0	1.790	11.425	1600
56	72.0	1.694	11.505	1600
57	72.0	1.883	11.050	1600
58	72.0	1.857	11.004	1600
59	72.0	1.197	5.738	1005
60	72.0	1.811	11.303	1600
61	72.0	1.782	11.629	1600
62	72.0	1.973	11.069	1600
63	72.0	1.794	10.795	1600
64	72.0	1.932	11.403	1600
65	72.0	1.807	11.381	1600
66	72.0	1.807	11.210	1600
67	72.0	1.650	10.886	1600
68	72.0	1.725	11.269	1600
69	72.0	1.626	10.969	1600
70	72.0	1.608	11.342	1600
71	72.0	1.644	10.700	1441
72	72.0	1.674	10.975	1600
73	72.0	1.644	11.017	1600
74	72.0	1.727	10.912	1600
75	72.0	1.755	11.054	1600
76	72.0	1.693	10.384	1600
77	72.0	1.721	10.694	1600
78	72.0	1.724	10.543	1600
79	72.0	1.724	11.343	1600
80	72.0	1.673	11.165	1600
81	72.0	1.777	11.246	1600
82	72.0	1.761	11.399	1600
83	72.0	1.723	11.137	1600
84	72.0	1.717	11.122	1600
85	72.0	1.659	11.218	1600
86	72.0	1.740	11.248	1600
87	72.0	1.618	11.413	1600
88	72.0	1.655	11.058	1600
89	72.0	1.474	7.212	1304
90	72.0	1.625	11.003	1600
91	72.0	1.704	10.866	1600
92	72.0	1.732	10.941	1600
93	72.0	1.743	10.993	1600
94	72.0	0.839	5.540	248
95	72.0	1.596	10.839	1600
96	72.0	1.600	10.920	1600
97	72.0	1.769	11.332	1600
98	72.0	0.435	2.931	196
99	72.0	1.671	11.069	1600
100	72.0	1.669	10.295	1600
101	72.0	1.683	10.791	1600
102	72.0	1.631	11.019	1600
103	72.0	1.730	11.207	1600
104	72.0	1.616	11.289	1600
105	72.0	1.853	11.446	1600
106	72.0	1.663	11.207	1600
107	72.0	1.693	10.844	1600
108	72.0	1.765	11.383	1600
109	72.0	1.624	10.948	1600
110	72.0	1.839	11.443	1600
111	72.0	1.686	11.226	1600
112	72.0	1.817	11.238	1600
113	72.0	1.747	10.861	1600
114	72.0	2.438	11.483	1600
