# секунда	частота	CPU мс	GPU мс	draw calls
0	72.0	0.236	3.029	1600
1	72.0	1.609	10.522	1600
2	72.0	1.690	11.025	1600
3	72.0	1.681	11.110	1600
4	72.0	1.845	11.316	1600
5	72.0	1.667	11.261	1600
6	72.0	1.719	10.836	1600
7	72.0	1.608	10.935	1600
8	72.0	1.701	10.974	1600
9	72.0	1.600	10.894	1600
10	72.0	1.678	10.989	1600
11	72.0	1.589	10.347	1600
12	72.0	1.645	10.399	1600
13	72.0	1.806	10.871	1600
14	72.0	1.610	10.617	1600
15	72.0	1.611	11.178	1600
16	72.0	1.650	11.009	1600
17	72.0	1.637	10.504	1600
18	72.0	1.614	10.464	1600
19	72.0	1.729	11.064	1600
20	72.0	0.206	2.610	0
21	72.0	1.753	10.291	1600
22	72.0	1.703	10.888	1600
23	72.0	1.723	11.074	1600
24	72.0	1.620	10.852	1600
25	72.0	1.621	10.795	1600
26	72.0	1.710	11.034	1600
27	72.0	1.658	10.434	1600
28	72.0	1.663	10.505	1600
29	72.0	1.670	10.502	1600
30	72.0	1.648	10.573	1600
31	72.0	1.650	10.629	1600
32	72.0	1.579	10.732	1600
33	72.0	1.551	10.389	1600
34	72.0	1.702	10.966	1600
35	72.0	1.688	10.634	1600
36	72.0	1.669	10.997	1600
37	72.0	1.637	10.592	1600
38	72.0	1.654	10.778	1600
39	72.0	1.455	11.108	1600
40	72.0	1.694	11.057	1600
41	72.0	1.589	10.940	1600
42	72.0	1.706	10.933	1600
43	72.0	1.734	10.928	1600
44	72.0	1.595	10.998	1600
45	72.0	1.647	10.650	1600
46	72.0	1.510	10.718	1600
47	72.0	1.545	10.762	1600
48	72.0	1.526	10.616	1600
49	72.0	1.597	10.680	1600
50	72.0	1.653	10.604	1600
51	72.0	1.643	10.831	1600
52	72.0	1.553	10.707	1600
53	72.0	1.550	10.668	1600
54	72.0	1.593	10.580	1600
55	72.0	1.627	10.949	1600
56	72.0	1.524	10.859	1600
57	72.0	1.662	11.095	1600
58	72.0	1.612	10.579	1600
59	72.0	1.583	10.688	1600
60	72.0	1.693	10.849	1600
61	72.0	1.787	11.235	1600
62	72.0	1.546	10.739	1600
63	72.0	1.646	11.162	1600
64	72.0	1.538	10.752	1600
65	72.0	1.612	10.886	1600
66	72.0	1.599	10.597	1600
67	72.0	1.598	10.619	1600
68	72.0	1.547	10.609	1600
69	72.0	1.583	10.607	1600
70	72.0	1.600	10.590	1600
71	72.0	1.567	10.629	1600
72	72.0	1.523	10.853	1600
73	72.0	1.606	10.597	1600
74	72.0	1.570	10.560	1600
75	72.0	1.660	10.680	1600
76	72.0	1.593	10.785	1600
77	72.0	1.649	10.813	1600
78	72.0	1.583	10.705	1600
79	72.0	1.657	10.689	1600
80	72.0	1.575	10.637	1600
81	72.0	1.582	10.934	1600
82	72.0	1.593	10.985	1600
83	72.0	1.557	10.719	1600
84	72.0	1.630	11.046	1600
85	72.0	1.508	11.018	1600
86	72.0	1.571	10.464	1600
87	72.0	1.673	10.551	1600
88	72.0	1.541	10.667	1600
89	72.0	1.537	10.653	1600
90	72.0	1.630	10.414	1600
91	72.0	1.539	10.216	1600
92	72.0	1.587	10.986	1600
93	72.0	1.603	10.929	1600
