# unix_время	ступень	запрошено	получено	N	CPU мед	GPU мед	кадров	к/с	сверх бюджета	draw calls	клок Гц	буфер
1789242096.030	0	72.0	72.0	0	0.104	2.612	108	72.0	0	0	-1	1680x1760
1789242098.652	0	72.0	72.0	400	0.548	4.621	108	72.0	0	400	-1	1680x1760
1789242101.353	0	72.0	72.0	1600	1.712	10.678	108	72.0	0	1600	-1	1680x1760
1789242107.559	1	120.0	120.0	0	0.105	3.289	181	120.0	0	0	-1	1680x1760
1789242110.173	1	120.0	120.0	400	0.468	5.954	180	119.9	0	400	-1	1680x1760
1789242112.858	1	120.0	120.0	1600	1.905	8.232	180	119.7	58	1600	-1	1680x1760
1789242119.069	2	72.0	72.0	0	0.106	2.611	108	72.0	0	0	-1	1680x1760
1789242121.690	2	72.0	72.0	400	0.552	4.596	108	72.0	0	400	-1	1680x1760
1789242124.404	2	72.0	72.0	1600	1.764	11.280	109	72.0	0	1600	-1	1680x1760
1789242130.633	3	120.0	120.0	0	0.114	3.629	180	119.9	0	0	-1	1680x1760
1789242133.248	3	120.0	120.0	400	0.472	6.133	180	119.9	0	400	-1	1680x1760
1789242135.928	3	120.0	120.0	1600	1.796	8.304	180	119.8	73	1600	-1	1680x1760
