# сэмплер частоты GPU, период 0.25 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789242040.592700875	492000000	17	0 13609072 19875199 40901757 671365383 1679954637 0 64765 0 697018 
1789242040.888382206	492000000	17	0 13609072 19875199 40901757 671416761 1679954637 0 64765 0 697018 
1789242041.184224683	492000000	17	0 13609072 19875199 40901757 671467083 1679954637 0 64765 0 697018 
1789242041.481646276	492000000	17	0 13609072 19875199 40901757 671518537 1679954637 0 64765 0 697018 
1789242041.782053337	492000000	17	0 13609072 19875199 40901757 671570044 1679954637 0 64765 0 697018 
1789242042.078763210	492000000	17	0 13609072 19875199 40901757 671620765 1679954637 0 64765 0 697018 
1789242042.377723813	492000000	17	0 13609072 19875199 40901757 671672213 1679954637 0 64765 0 697018 
1789242042.669302644	492000000	17	0 13609072 19875199 40901757 671756642 1679954637 0 64765 0 697018 
1789242043.060154402	492000000	17	0 13609072 19875199 40901757 671866171 1679954637 0 64765 0 697018 
1789242043.363012765	492000000	29	0 13609072 19875199 40901757 671972200 1679954637 0 64765 0 697018 
1789242043.663695451	599000000	29	0 13609072 19907023 40901757 672041661 1679954637 0 64765 0 697018 
1789242043.958646731	599000000	29	0 13609072 19995454 40901757 672041661 1679954637 0 64765 0 697018 
1789242044.249788478	599000000	29	0 13609072 20083210 40901757 672041661 1679954637 0 64765 0 697018 
1789242044.544254706	599000000	34	0 13609072 20308078 40901757 672041661 1679954637 0 64765 0 697018 
1789242044.842871610	599000000	34	0 13609072 20557070 40901757 672041661 1679954637 0 64765 0 697018 
1789242045.138638359	640000000	34	0 13641723 20770700 40901757 672041661 1679954637 0 64765 0 697018 
1789242045.431798752	640000000	82	0 13854584 20770700 40901757 672041661 1679954637 0 64765 0 697018 
1789242045.726405553	599000000	82	0 13930127 20862101 40901757 672041661 1679954637 0 64765 0 697018 
1789242046.022105842	545000000	82	0 13930127 20993223 40944315 672041661 1679954637 0 64765 0 697018 
1789242046.320477174	545000000	82	0 13930127 20993223 41125101 672041661 1679954637 0 64765 0 697018 
1789242046.614003037	545000000	58	0 13930127 20993223 41308169 672041661 1679954637 0 64765 0 697018 
1789242046.912764265	545000000	58	0 13930127 20993223 41474329 672041661 1679954637 0 64765 0 697018 
1789242047.213019399	492000000	58	0 13930127 20993223 41587016 672112568 1679954637 0 64765 0 697018 
1789242047.508107813	492000000	60	0 13930127 20993223 41587016 672309446 1679954637 0 64765 0 697018 
1789242047.808899823	492000000	60	0 13930127 20993223 41587016 672477503 1679954637 0 64765 0 697018 
1789242048.113001884	456000000	60	0 13930127 20993223 41587016 672610787 1679969735 0 64765 0 697018 
