# сэмплер частоты GPU, период 0.25 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789310323.509715774	492000000	17	0 23114516 30921973 67712705 880737912 1901645473 0 64765 0 773435 
1789310323.807503512	492000000	17	0 23114516 30921973 67712705 880790987 1901645473 0 64765 0 773435 
1789310324.102401406	492000000	17	0 23114516 30921973 67712705 880841297 1901645473 0 64765 0 773435 
1789310324.399666384	492000000	17	0 23114516 30921973 67712705 880893554 1901645473 0 64765 0 773435 
1789310324.697371518	492000000	17	0 23114516 30921973 67712705 880944577 1901645473 0 64765 0 773435 
1789310324.999103371	492000000	17	0 23114516 30921973 67712705 880999941 1901645473 0 64765 0 773435 
1789310325.304243193	492000000	17	0 23114516 30921973 67712705 881052858 1901645473 0 64765 0 773435 
1789310325.617466818	492000000	17	0 23114516 30921973 67712705 881131500 1901645473 0 64765 0 773435 
1789310325.955420914	492000000	17	0 23114516 30921973 67712705 881237772 1901645473 0 64765 0 773435 
1789310326.265700320	599000000	17	0 23114516 30989470 67712705 881260072 1901645473 0 64765 0 773435 
1789310326.571043111	599000000	30	0 23114516 31078650 67712705 881260072 1901645473 0 64765 0 773435 
1789310326.872356370	599000000	30	0 23114516 31167824 67712705 881260072 1901645473 0 64765 0 773435 
1789310327.161096451	599000000	30	0 23114516 31255277 67712705 881260072 1901645473 0 64765 0 773435 
1789310327.453100803	599000000	30	0 23114516 31392831 67712705 881260072 1901645473 0 64765 0 773435 
1789310327.747647342	599000000	35	0 23114516 31570499 67712705 881260072 1901645473 0 64765 0 773435 
1789310328.041469351	599000000	35	0 23114516 31752816 67712705 881260072 1901645473 0 64765 0 773435 
1789310328.337263495	599000000	35	0 23114516 31935941 67712705 881260072 1901645473 0 64765 0 773435 
1789310328.631257899	545000000	59	0 23114516 31969285 67813062 881260072 1901645473 0 64765 0 773435 
1789310328.927266522	545000000	59	0 23114516 31969285 67944248 881260072 1901645473 0 64765 0 773435 
1789310329.226137229	545000000	59	0 23114516 31969285 68073196 881260072 1901645473 0 64765 0 773435 
