# unix_время	тип	ступень	запрошено	получено	N	CPU мед	GPU мед	кадров	к/с	сверх бюджета	draw calls	буфер
1789277155.799	свип	0	72.0	72.0	0	0.122	2.728	108	72.0	0	0	1680x1760
1789277158.409	свип	0	72.0	72.0	400	0.532	4.586	108	71.9	0	319	1680x1760
1789277161.108	свип	0	72.0	72.0	1600	1.678	10.379	109	72.4	0	1175	1680x1760
1789277163.769	канарейка	0	72.0	72.0	400	0.205	2.580	109	72.0	0	176	1680x1760
1789277167.333	свип	1	90.0	90.0	0	0.105	2.626	135	90.0	0	0	1680x1760
1789277169.941	свип	1	90.0	90.0	400	0.628	4.470	135	89.9	0	400	1680x1760
1789277172.634	свип	1	90.0	90.0	1600	1.860	9.454	136	90.1	0	1600	1680x1760
1789277175.275	канарейка	1	90.0	90.0	400	0.845	4.185	135	90.0	0	400	1680x1760
1789277178.848	свип	2	72.0	72.0	0	0.111	3.361	108	72.0	0	0	1680x1760
1789277181.463	свип	2	72.0	72.0	400	0.564	4.632	108	72.0	0	400	1680x1760
1789277184.149	свип	2	72.0	72.0	1600	1.784	11.214	108	72.0	0	1600	1680x1760
1789277186.797	канарейка	2	72.0	72.0	400	0.514	4.148	108	72.0	0	400	1680x1760
1789277190.362	свип	3	90.0	90.0	0	0.106	2.626	135	90.0	0	0	1680x1760
1789277192.970	свип	3	90.0	90.0	400	0.634	5.241	135	89.9	0	400	1680x1760
1789277195.663	свип	3	90.0	90.0	1600	1.840	9.450	135	90.0	0	1600	1680x1760
1789277198.304	канарейка	3	90.0	90.0	400	0.596	3.956	135	90.0	0	400	1680x1760
