# unix_время	тип	ступень	запрошено	получено	N	CPU мед	GPU мед	кадров	к/с	сверх бюджета	draw calls	буфер
1789277901.269	свип	0	72.0	72.0	0	0.123	2.722	108	72.0	0	0	1680x1760
1789277903.878	свип	0	72.0	72.0	400	0.517	4.264	108	72.0	0	400	1680x1760
1789277906.564	свип	0	72.0	72.0	1600	1.760	10.696	108	72.0	0	1600	1680x1760
1789277909.212	канарейка	0	72.0	72.0	400	0.515	4.137	108	72.0	0	400	1680x1760
1789277912.776	свип	1	90.0	90.0	0	0.108	2.629	135	90.0	0	0	1680x1760
1789277915.394	свип	1	90.0	90.0	400	0.623	5.537	135	89.9	0	400	1680x1760
1789277918.100	свип	1	90.0	90.0	1600	1.868	8.928	135	89.8	0	1600	1680x1760
1789277920.741	канарейка	1	90.0	90.0	400	0.499	3.507	135	90.0	0	400	1680x1760
1789277924.314	свип	2	72.0	72.0	0	0.120	3.345	108	72.0	0	0	1680x1760
1789277926.928	свип	2	72.0	72.0	400	0.540	4.318	108	72.0	0	400	1680x1760
1789277929.612	свип	2	72.0	72.0	1600	1.817	11.247	108	72.0	0	1600	1680x1760
1789277932.262	канарейка	2	72.0	72.0	400	0.547	4.326	108	72.0	0	400	1680x1760
1789277935.826	свип	3	90.0	90.0	0	0.120	2.887	135	90.0	0	0	1680x1760
1789277938.446	свип	3	90.0	90.0	400	0.627	4.317	135	90.0	0	400	1680x1760
1789277941.150	свип	3	90.0	90.0	1600	1.924	9.506	135	90.0	0	1600	1680x1760
1789277943.791	канарейка	3	90.0	90.0	400	0.761	3.965	135	89.9	0	400	1680x1760
