# сэмплер частоты GPU, период 0.25 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789276277.469734320	492000000	17	0 21481189 22018991 46455892 684329844 1726378767 0 64765 0 709429 
1789276277.767476017	492000000	17	0 21481189 22018991 46455892 684380871 1726378767 0 64765 0 709429 
1789276278.062783181	492000000	17	0 21481189 22018991 46455892 684432758 1726378767 0 64765 0 709429 
1789276278.362102222	492000000	17	0 21481189 22018991 46455892 684483276 1726378767 0 64765 0 709429 
1789276278.658701210	492000000	17	0 21481189 22018991 46455892 684535415 1726378767 0 64765 0 709429 
1789276278.955701708	492000000	17	0 21481189 22018991 46455892 684585528 1726378767 0 64765 0 709429 
1789276279.253570592	492000000	17	0 21481189 22018991 46455892 684636675 1726378767 0 64765 0 709429 
1789276279.556750987	492000000	17	0 21481189 22018991 46455892 684698638 1726378767 0 64765 0 709429 
1789276279.892663780	492000000	17	0 21481189 22018991 46455892 684815991 1726378767 0 64765 0 709429 
1789276280.194024800	492000000	17	0 21481189 22018991 46455892 684920337 1726378767 0 64765 0 709429 
1789276280.494476288	492000000	29	0 21481189 22018991 46455892 685026501 1726378767 0 64765 0 709429 
1789276280.790362828	599000000	29	0 21481189 22090270 46455892 685047342 1726378767 0 64765 0 709429 
1789276281.081219472	599000000	29	0 21481189 22178172 46455892 685047342 1726378767 0 64765 0 709429 
1789276281.372570282	599000000	32	0 21481189 22284681 46455892 685047342 1726378767 0 64765 0 709429 
1789276281.664756301	599000000	32	0 21481189 22466416 46455892 685047342 1726378767 0 64765 0 709429 
1789276281.957870705	599000000	32	0 21481189 22641559 46455892 685047342 1726378767 0 64765 0 709429 
1789276282.250199953	599000000	58	0 21481189 22822106 46455892 685047342 1726378767 0 64765 0 709429 
1789276282.542901492	545000000	58	0 21481189 22939907 46487697 685047342 1726378767 0 64765 0 709429 
1789276282.837199803	545000000	58	0 21481189 22939907 46621071 685047342 1726378767 0 64765 0 709429 
1789276283.138903687	545000000	58	0 21481189 22939907 46760418 685047342 1726378767 0 64765 0 709429 
1789276283.429135018	545000000	47	0 21481189 22939907 46890700 685047342 1726378767 0 64765 0 709429 
1789276283.726199787	492000000	47	0 21481189 22939907 46933617 685147075 1726378767 0 64765 0 709429 
1789276284.023840963	492000000	47	0 21481189 22939907 46933617 685272587 1726378767 0 64765 0 709429 
1789276284.319409326	492000000	45	0 21481189 22939907 46933617 685414359 1726378767 0 64765 0 709429 
1789276284.614850397	456000000	45	0 21481189 22939907 46933617 685485821 1726442284 0 64765 0 709429 
1789276284.911080739	456000000	45	0 21481189 22939907 46933617 685485821 1726553014 0 64765 0 709429 
1789276285.208654883	456000000	45	0 21481189 22939907 46933617 685485821 1726660538 0 64765 0 709429 
1789276285.509652673	456000000	40	0 21481189 22939907 46933617 685485821 1726772299 0 64765 0 709429 
1789276285.812758849	456000000	40	0 21481189 22939907 46933617 685485821 1726883153 0 64765 0 709429 
1789276286.109658358	456000000	40	0 21481189 22939907 46933617 685485821 1726992871 0 64765 0 709429 
1789276286.407489638	456000000	36	0 21481189 22939907 46933617 685485821 1727100060 0 64765 0 709429 
1789276286.706378626	456000000	36	0 21481189 22939907 46933617 685485821 1727197613 0 64765 0 709429 
1789276287.014936938	456000000	36	0 21481189 22939907 46933617 685485821 1727326633 0 64765 0 709429 
1789276287.320874833	456000000	38	0 21481189 22939907 46933617 685485821 1727461282 0 64765 0 709429 
1789276287.624899082	456000000	38	0 21481189 22939907 46933617 685485821 1727576479 0 64765 0 709429 
1789276287.927423331	456000000	38	0 21481189 22939907 46933617 685485821 1727706170 0 64765 0 709429 
1789276288.228543934	456000000	38	0 21481189 22939907 46933617 685485821 1727841845 0 64765 0 709429 
1789276288.535245371	456000000	41	0 21481189 22939907 46933617 685485821 1727973458 0 64765 0 709429 
1789276288.841283995	456000000	41	0 21481189 22939907 46933617 685485821 1728109888 0 64765 0 709429 
1789276289.146219806	456000000	41	0 21481189 22939907 46933617 685485821 1728213244 0 64765 0 709429 
1789276289.444259940	456000000	41	0 21481189 22939907 46933617 685485821 1728348657 0 64765 0 709429 
1789276289.748569866	456000000	41	0 21481189 22939907 46933617 685485821 1728484855 0 64765 0 709429 
1789276290.048925313	456000000	41	0 21481189 22939907 46933617 685485821 1728627834 0 64765 0 709429 
1789276290.355562948	456000000	45	0 21481189 22939907 46933617 685485821 1728771088 0 64765 0 709429 
1789276290.659815218	456000000	45	0 21481189 22939907 46933617 685485821 1728913647 0 64765 0 709429 
1789276290.967047019	456000000	45	0 21481189 22939907 46933617 685485821 1729058964 0 64765 0 709429 
1789276291.278279029	456000000	46	0 21481189 22939907 46933617 685485821 1729203301 0 64765 0 709429 
1789276291.585524685	456000000	46	0 21481189 22939907 46933617 685485821 1729348025 0 64765 0 709429 
1789276291.891368830	456000000	46	0 21481189 22939907 46933617 685485821 1729463738 0 64765 0 709429 
1789276292.192346985	456000000	46	0 21481189 22939907 46933617 685485821 1729613688 0 64765 0 709429 
1789276292.498111182	456000000	45	0 21481189 22939907 46933617 685485821 1729776503 0 64765 0 709429 
