# unix_время	тип	ступень	запрошено	получено	N	CPU мед	GPU мед	кадров	к/с	сверх бюджета	draw calls	буфер
1789276329.590	свип	0	72.0	72.0	0	0.119	2.708	108	72.0	0	0	1680x1760
1789276332.226	свип	0	72.0	72.0	400	0.540	4.359	108	72.0	0	400	1680x1760
1789276334.941	свип	0	72.0	72.0	1600	1.708	10.369	109	72.0	0	1600	1680x1760
1789276337.574	канарейка	0	72.0	72.0	400	0.500	3.880	108	72.0	0	400	1680x1760
1789276341.138	свип	1	90.0	90.0	0	0.104	2.626	135	90.0	0	0	1680x1760
1789276343.758	свип	1	90.0	90.0	400	0.780	3.901	135	90.0	0	400	1680x1760
1789276346.440	свип	1	90.0	90.0	1600	1.908	9.353	135	90.0	0	1600	1680x1760
1789276349.081	канарейка	1	90.0	90.0	400	0.816	3.941	135	90.0	0	400	1680x1760
1789276352.667	свип	2	72.0	72.0	0	0.109	3.374	109	72.0	0	0	1680x1760
1789276355.296	свип	2	72.0	72.0	400	0.543	4.348	108	72.0	0	400	1680x1760
1789276357.984	свип	2	72.0	72.0	1600	1.733	10.461	108	72.0	0	1600	1680x1760
1789276360.645	канарейка	2	72.0	72.0	400	0.508	3.900	109	72.0	0	400	1680x1760
1789276364.209	свип	3	90.0	90.0	0	0.105	2.626	135	89.9	0	0	1680x1760
1789276366.839	свип	3	90.0	90.0	400	0.988	4.627	135	89.9	0	400	1680x1760
1789276369.544	свип	3	90.0	90.0	1600	1.897	9.251	135	90.0	0	1600	1680x1760
1789276372.184	канарейка	3	90.0	90.0	400	0.783	3.913	135	90.0	0	400	1680x1760
