unix_t	window	hand	tracked	curl_index	curl_middle	curl_ring	curl_pinky	pinch_m	palm_head	cls	hi_pinch	hi_grasp	aim_pinch	aim_menu
1789352116.2306	rest	L	1	0.0017	0.0014	0.0007	0.0048	0.1090	0.9848		0	0	0	0
1789352116.2306	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1086	0.9860		0	0	0	0
1789352116.2415	rest	L	1	0.0017	0.0014	0.0007	0.0048	0.1090	0.9848		0	0	0	0
1789352116.2415	rest	R	1	0.0013	0.0022	0.0003	0.0046	0.1086	0.9860		0	0	0	0
1789352116.2527	rest	L	1	0.0017	0.0014	0.0007	0.0048	0.1091	0.9848		0	0	0	0
1789352116.2527	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1086	0.9861		0	0	0	0
1789352116.2637	rest	L	1	0.0017	0.0014	0.0007	0.0048	0.1091	0.9848		0	0	0	0
1789352116.2637	rest	R	1	0.0013	0.0022	0.0003	0.0046	0.1086	0.9861		0	0	0	0
1789352116.2749	rest	L	1	0.0017	0.0014	0.0007	0.0048	0.1091	0.9848		0	0	0	0
1789352116.2749	rest	R	1	0.0013	0.0022	0.0003	0.0046	0.1086	0.9862		0	0	0	0
1789352116.2859	rest	L	1	0.0017	0.0014	0.0007	0.0047	0.1091	0.9848		0	0	0	0
1789352116.2859	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1086	0.9861		0	0	0	0
1789352116.2970	rest	L	1	0.0017	0.0014	0.0007	0.0047	0.1091	0.9848		0	0	0	0
1789352116.2970	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1086	0.9860		0	0	0	0
1789352116.3078	rest	L	1	0.0017	0.0014	0.0007	0.0047	0.1091	0.9848		0	0	0	0
1789352116.3078	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1086	0.9860		0	0	0	0
1789352116.3190	rest	L	1	0.0017	0.0014	0.0007	0.0047	0.1091	0.9848		0	0	0	0
1789352116.3190	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1086	0.9860		0	0	0	0
1789352116.3298	rest	L	1	0.0017	0.0014	0.0007	0.0047	0.1091	0.9849		0	0	0	0
1789352116.3298	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1087	0.9862		0	0	0	0
1789352116.3409	rest	L	1	0.0017	0.0014	0.0007	0.0047	0.1091	0.9849		0	0	0	0
1789352116.3409	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1087	0.9863		0	0	0	0
1789352116.3526	rest	L	1	0.0017	0.0014	0.0007	0.0047	0.1092	0.9850		0	0	0	0
1789352116.3526	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1087	0.9864		0	0	0	0
1789352116.3636	rest	L	1	0.0017	0.0014	0.0007	0.0046	0.1092	0.9849		0	0	0	0
1789352116.3636	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1087	0.9865		0	0	0	0
1789352116.3746	rest	L	1	0.0017	0.0014	0.0007	0.0046	0.1092	0.9849		0	0	0	0
1789352116.3746	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1087	0.9866		0	0	0	0
1789352116.3859	rest	L	1	0.0017	0.0014	0.0007	0.0046	0.1092	0.9849		0	0	0	0
1789352116.3859	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1087	0.9867		0	0	0	0
1789352116.3969	rest	L	1	0.0017	0.0014	0.0007	0.0046	0.1092	0.9848		0	0	0	0
1789352116.3969	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1087	0.9868		0	0	0	0
1789352116.4077	rest	L	1	0.0017	0.0014	0.0007	0.0046	0.1093	0.9846		0	0	0	0
1789352116.4077	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1087	0.9867		0	0	0	0
1789352116.4192	rest	L	1	0.0017	0.0014	0.0007	0.0046	0.1093	0.9845		0	0	0	0
1789352116.4192	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1087	0.9868		0	0	0	0
1789352116.4304	rest	L	1	0.0017	0.0014	0.0007	0.0046	0.1093	0.9844		0	0	0	0
