unix_t	window	slot	hand	tracked	curl_index	curl_middle	curl_ring	curl_pinky	pinch_m	palm_head	palm_y_head	cls	hi_pinch	hi_grasp	aim_pinch	aim_menu	aim_pose
1789353337.0887	rest		L	1	0.0016	0.0022	0.0004	0.0033	0.1042	0.9872	-0.1636		0	0	0	0	1
1789353337.0887	rest		R	1	0.0017	0.0023	0.0005	0.0025	0.1076	0.9980	-0.0462		0	0	0	0	1
1789353337.1000	rest		L	1	0.0016	0.0022	0.0004	0.0033	0.1043	0.9873	-0.1643		0	0	0	0	1
1789353337.1000	rest		R	1	0.0017	0.0023	0.0005	0.0025	0.1076	0.9980	-0.0468		0	0	0	0	1
1789353337.1110	rest		L	1	0.0016	0.0022	0.0004	0.0033	0.1043	0.9873	-0.1637		0	0	0	0	1
1789353337.1110	rest		R	1	0.0017	0.0024	0.0005	0.0025	0.1076	0.9981	-0.0471		0	0	0	0	1
1789353337.1221	rest		L	1	0.0016	0.0022	0.0004	0.0033	0.1044	0.9874	-0.1638		0	0	0	0	1
1789353337.1221	rest		R	1	0.0017	0.0024	0.0005	0.0025	0.1077	0.9981	-0.0475		0	0	0	0	1
1789353337.1332	rest		L	1	0.0016	0.0022	0.0004	0.0033	0.1044	0.9874	-0.1639		0	0	0	0	1
1789353337.1332	rest		R	1	0.0017	0.0024	0.0005	0.0025	0.1077	0.9981	-0.0480		0	0	0	0	1
1789353337.1440	rest		L	1	0.0016	0.0022	0.0004	0.0033	0.1045	0.9874	-0.1640		0	0	0	0	1
1789353337.1440	rest		R	1	0.0017	0.0024	0.0005	0.0025	0.1078	0.9981	-0.0484		0	0	0	0	1
1789353337.1551	rest		L	1	0.0016	0.0022	0.0004	0.0034	0.1046	0.9875	-0.1640		0	0	0	0	1
1789353337.1551	rest		R	1	0.0017	0.0024	0.0005	0.0025	0.1078	0.9982	-0.0491		0	0	0	0	1
1789353337.1662	rest		L	1	0.0016	0.0022	0.0004	0.0034	0.1046	0.9875	-0.1639		0	0	0	0	1
1789353337.1662	rest		R	1	0.0017	0.0024	0.0005	0.0025	0.1078	0.9982	-0.0495		0	0	0	0	1
1789353337.1775	rest		L	1	0.0016	0.0022	0.0004	0.0034	0.1047	0.9876	-0.1639		0	0	0	0	1
1789353337.1775	rest		R	1	0.0017	0.0024	0.0005	0.0025	0.1078	0.9983	-0.0499		0	0	0	0	1
1789353337.1884	rest		L	1	0.0016	0.0022	0.0004	0.0034	0.1047	0.9877	-0.1638		0	0	0	0	1
1789353337.1884	rest		R	1	0.0017	0.0024	0.0005	0.0025	0.1078	0.9983	-0.0507		0	0	0	0	1
1789353337.1995	rest		L	1	0.0016	0.0022	0.0004	0.0035	0.1047	0.9878	-0.1638		0	0	0	0	1
1789353337.1995	rest		R	1	0.0017	0.0024	0.0005	0.0025	0.1078	0.9983	-0.0513		0	0	0	0	1
1789353337.2107	rest		L	1	0.0016	0.0022	0.0004	0.0035	0.1048	0.9878	-0.1638		0	0	0	0	1
1789353337.2107	rest		R	1	0.0017	0.0024	0.0005	0.0025	0.1078	0.9983	-0.0519		0	0	0	0	1
1789353337.2216	rest		L	1	0.0016	0.0022	0.0004	0.0036	0.1048	0.9879	-0.1638		0	0	0	0	1
1789353337.2216	rest		R	1	0.0017	0.0024	0.0005	0.0025	0.1079	0.9983	-0.0525		0	0	0	0	1
1789353337.2329	rest		L	1	0.0016	0.0022	0.0004	0.0036	0.1050	0.9879	-0.1653		0	0	0	0	1
1789353337.2329	rest		R	1	0.0017	0.0024	0.0005	0.0025	0.1080	0.9984	-0.0516		0	0	0	0	1
1789353337.2441	rest		L	1	0.0016	0.0022	0.0004	0.0036	0.1050	0.9879	-0.1659		0	0	0	0	1
1789353337.2441	rest		R	1	0.0017	0.0024	0.0005	0.0025	0.1080	0.9984	-0.0516		0	0	0	0	1
1789353337.2550	rest		L	1	0.0016	0.0022	0.0004	0.0036	0.1051	0.9879	-0.1665		0	0	0	0	1
1789353337.2550	rest		R	1	0.0017	0.0024	0.0005	0.0025	0.1081	0.9984	-0.0517		0	0	0	0	1
1789353337.2660	rest		L	1	0.0016	0.0022	0.0004	0.0037	0.1052	0.9880	-0.1670		0	0	0	0	1
1789353337.2660	rest		R	1	0.0017	0.0024	0.0005	0.0024	0.1082	0.9984	-0.0515		0	0	0	0	1
1789353337.2770	rest		L	1	0.0016	0.0022	0.0004	0.0037	0.1052	0.9880	-0.1672		0	0	0	0	1
1789353337.2770	rest		R	1	0.0017	0.0024	0.0005	0.0024	0.1082	0.9984	-0.0519		0	0	0	0	1
1789353337.2882	rest		L	1	0.0016	0.0022	0.0004	0.0038	0.1052	0.9881	-0.1675		0	0	0	0	1
1789353337.2882	rest		R	1	0.0017	0.0024	0.0005	0.0024	0.1082	0.9984	-0.0519		0	0	0	0	1
1789353337.2996	rest		L	1	0.0016	0.0022	0.0004	0.0038	0.1052	0.9881	-0.1680		0	0	0	0	1
1789353337.2996	rest		R	1	0.0017	0.0024	0.0005	0.0024	0.1082	0.9984	-0.0520		0	0	0	0	1
1789353337.3106	rest		L	1	0.0016	0.0022	0.0004	0.0038	0.1053	0.9881	-0.1676		0	0	0	0	1
1789353337.3106	rest		R	1	0.0017	0.0024	0.0005	0.0024	0.1083	0.9984	-0.0516		0	0	0	0	1
1789353337.3218	rest		L	1	0.0016	0.0022	0.0004	0.0038	0.1053	0.9881	-0.1678		0	0	0	0	1
1789353337.3218	rest		R	1	0.0017	0.0024	0.0005	0.0024	0.1083	0.9985	-0.0515		0	0	0	0	1
1789353337.3330	rest		L	1	0.0016	0.0022	0.0004	0.0038	0.1053	0.9881	-0.1679		0	0	0	0	1
1789353337.3330	rest		R	1	0.0018	0.0024	0.0005	0.0024	0.1083	0.9985	-0.0513		0	0	0	0	1
1789353337.3441	rest		L	1	0.0016	0.0022	0.0004	0.0038	0.1053	0.9881	-0.1680		0	0	0	0	1
1789353337.3441	rest		R	1	0.0018	0.0024	0.0005	0.0024	0.1084	0.9985	-0.0512		0	0	0	0	1
1789353337.3552	rest		L	1	0.0016	0.0022	0.0004	0.0039	0.1053	0.9882	-0.1672		0	0	0	0	1
1789353337.3552	rest		R	1	0.0018	0.0024	0.0005	0.0024	0.1084	0.9986	-0.0506		0	0	0	0	1
1789353337.3663	rest		L	1	0.0016	0.0022	0.0004	0.0039	0.1053	0.9883	-0.1670		0	0	0	0	1
1789353337.3663	rest		R	1	0.0018	0.0024	0.0005	0.0024	0.1085	0.9987	-0.0503		0	0	0	0	1
1789353337.3777	rest		L	1	0.0016	0.0022	0.0004	0.0039	0.1053	0.9883	-0.1668		0	0	0	0	1
1789353337.3777	rest		R	1	0.0018	0.0024	0.0005	0.0024	0.1085	0.9987	-0.0500		0	0	0	0	1
1789353337.3884	rest		L	1	0.0016	0.0022	0.0004	0.0039	0.1053	0.9884	-0.1666		0	0	0	0	1
1789353337.3884	rest		R	1	0.0018	0.0025	0.0005	0.0024	0.1086	0.9988	-0.0497		0	0	0	0	1
1789353337.3993	rest		L	1	0.0016	0.0022	0.0004	0.0039	0.1053	0.9885	-0.1664		0	0	0	0	1
1789353337.3993	rest		R	1	0.0018	0.0025	0.0006	0.0024	0.1087	0.9988	-0.0494		0	0	0	0	1
1789353337.4108	rest		L	1	0.0016	0.0022	0.0004	0.0039	0.1053	0.9885	-0.1662		0	0	0	0	1
1789353337.4108	rest		R	1	0.0018	0.0025	0.0006	0.0023	0.1087	0.9988	-0.0491		0	0	0	0	1
1789353337.4217	rest		L	1	0.0016	0.0022	0.0004	0.0038	0.1053	0.9886	-0.1660		0	0	0	0	1
1789353337.4217	rest		R	1	0.0018	0.0025	0.0006	0.0023	0.1088	0.9989	-0.0489		0	0	0	0	1
1789353337.4328	rest		L	1	0.0016	0.0022	0.0004	0.0039	0.1054	0.9888	-0.1644		0	0	0	0	1
1789353337.4328	rest		R	1	0.0018	0.0025	0.0006	0.0024	0.1088	0.9988	-0.0497		0	0	0	0	1
1789353337.4439	rest		L	1	0.0016	0.0022	0.0004	0.0039	0.1054	0.9890	-0.1637		0	0	0	0	1
1789353337.4439	rest		R	1	0.0018	0.0025	0.0006	0.0024	0.1088	0.9988	-0.0498		0	0	0	0	1
1789353337.4549	rest		L	1	0.0016	0.0022	0.0004	0.0039	0.1055	0.9891	-0.1629		0	0	0	0	1
1789353337.4549	rest		R	1	0.0018	0.0025	0.0006	0.0024	0.1088	0.9988	-0.0500		0	0	0	0	1
1789353337.4662	rest		L	1	0.0016	0.0022	0.0004	0.0039	0.1055	0.9892	-0.1622		0	0	0	0	1
1789353337.4662	rest		R	1	0.0018	0.0025	0.0006	0.0024	0.1088	0.9988	-0.0502		0	0	0	0	1
1789353337.4770	rest		L	1	0.0016	0.0022	0.0004	0.0039	0.1055	0.9890	-0.1633		0	0	0	0	1
1789353337.4770	rest		R	1	0.0018	0.0025	0.0006	0.0023	0.1089	0.9988	-0.0512		0	0	0	0	1
1789353337.4882	rest		L	1	0.0016	0.0022	0.0004	0.0039	0.1055	0.9890	-0.1632		0	0	0	0	1
1789353337.4882	rest		R	1	0.0018	0.0025	0.0006	0.0023	0.1089	0.9988	-0.0517		0	0	0	0	1
1789353337.4998	rest		L	1	0.0016	0.0022	0.0004	0.0039	0.1055	0.9890	-0.1631		0	0	0	0	1
