# unix_начало	unix_конец	серия	режим	проход	направление	N	отрисовок	GPU мед	CPU мед	кадров	к/с	сверх бюджета
1789396943.981	1789396945.981	плато_off	-	0	-	0	0	-	-	-	-	-
1789396946.292	1789396946.792	вызовы	off	0	вверх	0	0	2.200	0.101	27	90.0	0
1789396947.194	1789396947.713	вызовы	off	0	вверх	100	100	3.265	0.256	28	90.3	0
1789396948.126	1789396948.635	вызовы	off	0	вверх	200	200	3.572	0.354	27	89.7	0
1789396949.048	1789396949.556	вызовы	off	0	вверх	300	300	3.782	0.720	27	89.7	0
1789396949.970	1789396950.487	вызовы	off	0	вверх	350	350	4.382	0.585	28	90.3	0
1789396950.914	1789396951.420	вызовы	off	0	вверх	400	400	5.666	1.189	27	90.0	0
1789396951.847	1789396952.355	вызовы	off	0	вверх	450	450	4.118	0.510	27	90.0	0
1789396952.780	1789396953.298	вызовы	off	0	вверх	500	500	5.619	0.757	28	90.3	0
1789396953.735	1789396954.243	вызовы	off	0	вверх	550	550	5.741	0.784	27	89.7	0
1789396954.669	1789396955.175	вызовы	off	0	вверх	600	600	6.111	1.292	27	90.0	0
1789396955.602	1789396956.108	вызовы	off	0	вверх	650	650	5.986	1.427	27	90.0	0
1789396956.546	1789396957.053	вызовы	off	0	вверх	700	700	5.931	1.301	27	90.0	0
1789396957.500	1789396958.007	вызовы	off	0	вверх	750	750	6.709	0.821	27	90.0	0
1789396958.452	1789396958.953	вызовы	off	0	вверх	800	800	5.791	0.966	27	89.4	0
1789396959.386	1789396959.895	вызовы	off	0	вверх	900	900	7.942	0.894	27	89.7	0
1789396960.337	1789396960.840	вызовы	off	0	вверх	1000	1000	7.672	0.890	27	89.4	0
1789396961.292	1789396961.805	вызовы	off	0	вверх	1200	1200	8.178	1.124	27	89.4	0
1789396962.270	1789396962.780	вызовы	off	0	вверх	1600	1600	8.915	1.738	27	89.7	0
1789396961.127	1789396963.127	плато_2x	-	1	-	0	0	-	-	-	-	-
1789396963.447	1789396963.948	вызовы	2x	0	вверх	0	0	2.274	0.101	27	90.0	0
1789396964.350	1789396964.859	вызовы	2x	0	вверх	100	100	1.903	0.218	27	89.7	0
1789396965.272	1789396965.780	вызовы	2x	0	вверх	200	200	2.315	0.329	27	89.7	0
1789396966.193	1789396966.712	вызовы	2x	0	вверх	300	300	2.794	0.439	28	90.0	0
1789396967.138	1789396967.645	вызовы	2x	0	вверх	350	350	2.995	0.521	27	90.0	0
1789396968.071	1789396968.577	вызовы	2x	0	вверх	400	400	3.562	0.632	27	89.7	0
1789396969.003	1789396969.512	вызовы	2x	0	вверх	450	450	3.282	0.935	27	90.0	0
1789396969.936	1789396970.444	вызовы	2x	0	вверх	500	500	3.552	0.695	27	90.0	0
1789396970.879	1789396971.386	вызовы	2x	0	вверх	550	550	5.104	0.760	27	90.0	0
1789396971.824	1789396972.331	вызовы	2x	0	вверх	600	600	4.093	0.818	27	89.7	0
1789396972.768	1789396973.286	вызовы	2x	0	вверх	650	650	5.542	1.519	28	90.3	0
