# unix_начало	unix_конец	серия	режим	проход	направление	N	отрисовок	GPU мед	CPU мед	кадров	к/с	сверх бюджета
1789398276.427	1789398278.427	плато_off	-	0	-	0	0	-	-	-	-	-
1789398278.938	1789398281.438	вызовы	off	0	вверх	0	0	2.624	0.110	135	89.9	0
1789398282.616	1789398285.127	вызовы	off	0	вверх	100	100	2.973	0.218	135	90.0	0
1789398285.747	1789398288.247	вызовы	off	0	вверх	200	200	3.647	0.476	135	89.9	0
1789398288.858	1789398291.358	вызовы	off	0	вверх	300	300	3.919	0.674	135	90.0	0
1789398291.980	1789398294.481	вызовы	off	0	вверх	350	350	3.970	0.743	135	89.9	0
1789398295.112	1789398297.612	вызовы	off	0	вверх	400	400	5.505	0.835	135	90.0	0
1789398298.245	1789398300.746	вызовы	off	0	вверх	450	450	5.789	1.249	135	90.0	0
1789398301.381	1789398303.902	вызовы	off	0	вверх	500	500	5.645	0.748	136	90.1	0
1789398304.536	1789398307.046	вызовы	off	0	вверх	550	550	5.885	1.106	135	90.0	0
1789398307.680	1789398310.191	вызовы	off	0	вверх	600	600	6.095	1.070	135	90.0	0
1789398310.834	1789398313.333	вызовы	off	0	вверх	650	650	7.558	0.789	135	90.0	0
1789398313.988	1789398316.489	вызовы	off	0	вверх	700	700	7.255	0.820	135	90.0	0
1789398317.134	1789398319.646	вызовы	off	0	вверх	750	750	6.677	0.855	135	90.0	0
1789398320.291	1789398322.802	вызовы	off	0	вверх	800	800	6.686	0.868	135	89.9	0
1789398323.456	1789398325.956	вызовы	off	0	вверх	900	900	8.117	0.949	135	90.0	0
1789398326.612	1789398329.122	вызовы	off	0	вверх	1000	1000	8.493	1.059	136	90.0	0
1789398329.786	1789398332.288	вызовы	off	0	вверх	1200	1200	9.159	1.456	135	89.9	0
1789398332.983	1789398335.496	вызовы	off	0	вверх	1600	1600	9.390	1.908	136	90.1	0
1789398337.565	1789398339.565	плато_2x	-	1	-	0	0	-	-	-	-	-
1789398340.087	1789398342.587	вызовы	2x	0	вверх	0	0	2.543	0.112	135	90.0	0
1789398343.198	1789398345.699	вызовы	2x	0	вверх	100	100	1.994	0.247	135	90.0	0
1789398346.308	1789398348.810	вызовы	2x	0	вверх	200	200	2.394	0.357	135	89.9	0
1789398349.431	1789398351.941	вызовы	2x	0	вверх	300	300	2.791	0.466	135	90.0	0
1789398352.564	1789398355.086	вызовы	2x	0	вверх	350	350	3.001	0.574	136	90.1	0
1789398355.708	1789398358.219	вызовы	2x	0	вверх	400	400	3.192	0.759	135	89.9	0
1789398358.852	1789398361.352	вызовы	2x	0	вверх	450	450	3.445	0.982	135	90.0	0
1789398361.985	1789398364.486	вызовы	2x	0	вверх	500	500	3.617	1.197	135	89.9	0
1789398365.117	1789398367.618	вызовы	2x	0	вверх	550	550	3.856	0.817	135	90.0	0
1789398368.251	1789398370.764	вызовы	2x	0	вверх	600	600	3.963	0.796	136	90.0	0
1789398371.395	1789398373.896	вызовы	2x	0	вверх	650	650	4.179	0.836	135	90.0	0
1789398374.528	1789398377.029	вызовы	2x	0	вверх	700	700	5.691	1.540	135	89.9	0
1789398377.660	1789398380.163	вызовы	2x	0	вверх	750	750	5.407	1.232	135	90.0	0
1789398380.806	1789398383.307	вызовы	2x	0	вверх	800	800	5.740	1.379	135	90.0	0
1789398383.961	1789398386.461	вызовы	2x	0	вверх	900	900	6.334	1.038	135	90.0	0
1789398387.115	1789398389.617	вызовы	2x	0	вверх	1000	1000	7.882	1.087	135	89.9	0
1789398390.294	1789398392.804	вызовы	2x	0	вверх	1200	1200	8.695	1.454	135	89.9	0
1789398393.490	1789398395.992	вызовы	2x	0	вверх	1600	1600	8.706	2.103	135	89.9	0
1789398398.036	1789398400.036	плато_2x	-	2	-	0	0	-	-	-	-	-
1789398400.734	1789398403.233	вызовы	2x	1	вниз	1600	1600	9.233	2.057	135	90.0	0
1789398403.915	1789398406.426	вызовы	2x	1	вниз	1200	1200	8.564	1.498	136	90.0	0
1789398407.085	1789398409.595	вызовы	2x	1	вниз	1000	1000	7.557	1.084	136	90.1	0
1789398410.241	1789398412.742	вызовы	2x	1	вниз	900	900	6.341	1.012	135	90.0	0
1789398413.385	1789398415.898	вызовы	2x	1	вниз	800	800	6.100	1.097	136	90.1	0
1789398416.543	1789398419.043	вызовы	2x	1	вниз	750	750	5.638	1.303	135	90.0	0
1789398419.689	1789398422.199	вызовы	2x	1	вниз	700	700	5.331	1.111	135	90.0	0
1789398422.832	1789398425.343	вызовы	2x	1	вниз	650	650	5.259	0.991	136	90.0	0
1789398425.990	1789398428.491	вызовы	2x	1	вниз	600	600	3.988	1.037	135	90.0	0
1789398429.113	1789398431.614	вызовы	2x	1	вниз	550	550	3.792	1.075	135	90.0	0
1789398432.247	1789398434.746	вызовы	2x	1	вниз	500	500	3.615	1.163	135	90.0	0
1789398435.369	1789398437.869	вызовы	2x	1	вниз	450	450	3.406	1.212	135	89.9	0
1789398438.493	1789398441.005	вызовы	2x	1	вниз	400	400	3.163	0.518	136	90.0	0
1789398441.625	1789398444.127	вызовы	2x	1	вниз	350	350	2.969	0.475	135	89.9	0
1789398444.759	1789398447.261	вызовы	2x	1	вниз	300	300	2.890	0.509	135	89.9	0
1789398447.872	1789398450.373	вызовы	2x	1	вниз	200	200	2.389	0.348	135	90.0	0
1789398450.985	1789398453.485	вызовы	2x	1	вниз	100	100	1.989	0.262	135	90.0	0
1789398454.017	1789398456.518	вызовы	2x	1	вниз	0	0	2.855	0.125	135	90.0	0
1789398458.518	1789398460.518	плато_off	-	3	-	0	0	-	-	-	-	-
1789398461.210	1789398463.727	вызовы	off	1	вниз	1600	1600	9.499	1.969	136	90.1	0
