# сэмплер частоты GPU, период 0.25 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789398259.928251441	456000000	40	0 27148209 61657569 125737205 976989508 2298946885 74444 76541 11845 1195928 
1789398260.227247981	456000000	40	0 27148209 61657569 125737205 976989508 2299071668 74444 76541 11845 1195928 
1789398260.529401657	456000000	40	0 27148209 61657569 125737205 976989508 2299178350 74444 76541 11845 1195928 
1789398260.828457364	456000000	37	0 27148209 61657569 125737205 976989508 2299284782 74444 76541 11845 1195928 
1789398261.129263279	456000000	37	0 27148209 61657569 125737205 976989508 2299391404 74444 76541 11845 1195928 
1789398261.431891538	456000000	37	0 27148209 61657569 125737205 976989508 2299489136 74444 76541 11845 1195928 
1789398261.737932715	456000000	37	0 27148209 61657569 125737205 976989508 2299625297 74444 76541 11845 1195928 
1789398262.041211287	456000000	37	0 27148209 61657569 125737205 976989508 2299768241 74444 76541 11845 1195928 
1789398262.352704443	456000000	37	0 27148209 61657569 125737205 976989508 2299910303 74444 76541 11845 1195928 
1789398262.653122493	456000000	37	0 27148209 61657569 125737205 976989508 2300051960 74444 76541 11845 1195928 
1789398262.961162524	456000000	46	0 27148209 61657569 125737205 976989508 2300192505 74444 76541 11845 1195928 
1789398263.260335887	456000000	46	0 27148209 61657569 125737205 976989508 2300331889 74444 76541 11845 1195928 
1789398263.569007220	456000000	46	0 27148209 61657569 125737205 976989508 2300475051 74444 76541 11845 1195928 
1789398263.874800011	456000000	46	0 27148209 61657569 125737205 976989508 2300615460 74444 76541 11845 1195928 
1789398264.182298791	456000000	46	0 27148209 61657569 125737205 976989508 2300757804 74444 76541 11845 1195928 
1789398264.486221374	456000000	46	0 27148209 61657569 125737205 976989508 2300882367 74444 76541 11845 1195928 
1789398264.794548905	456000000	42	0 27148209 61657569 125737205 976989508 2301008303 74444 76541 11845 1195928 
1789398265.101185810	456000000	42	0 27148209 61657569 125737205 976989508 2301132066 74444 76541 11845 1195928 
1789398265.406073549	456000000	42	0 27148209 61657569 125737205 976989508 2301278812 74444 76541 11845 1195928 
1789398265.704034047	456000000	42	0 27148209 61657569 125737205 976989508 2301409012 74444 76541 11845 1195928 
1789398266.010492359	456000000	44	0 27148209 61657569 125737205 976989508 2301560133 74444 76541 11845 1195928 
1789398266.314702129	456000000	44	0 27148209 61657569 125737205 976989508 2301706949 74444 76541 11845 1195928 
1789398266.619373305	456000000	44	0 27148209 61657569 125737205 976989508 2301846683 74444 76541 11845 1195928 
1789398266.925843856	456000000	47	0 27148209 61657569 125737205 976989508 2301988864 74444 76541 11845 1195928 
1789398267.229007480	456000000	47	0 27148209 61657569 125737205 976989508 2302127791 74444 76541 11845 1195928 
1789398267.534331782	456000000	47	0 27148209 61657569 125737205 976989508 2302266872 74444 76541 11845 1195928 
1789398267.836902124	456000000	45	0 27148209 61657569 125737205 976989508 2302404883 74444 76541 11845 1195928 
1789398268.141511738	456000000	45	0 27148209 61657569 125737205 976989508 2302537505 74444 76541 11845 1195928 
1789398268.445944893	456000000	45	0 27148209 61657569 125737205 976989508 2302661678 74444 76541 11845 1195928 
1789398268.751025809	456000000	45	0 27148209 61657569 125737205 976989508 2302786518 74444 76541 11845 1195928 
1789398269.053471985	456000000	41	0 27148209 61657569 125737205 976989508 2302902122 74444 76541 11845 1195928 
1789398269.362829047	456000000	41	0 27148209 61657569 125737205 976989508 2302932717 74444 76541 11845 1195928 
1789398269.686667621	456000000	41	0 27148209 61657569 125737205 976989508 2302963217 74444 76541 11845 1195928 
