# память GPU процесса org.flamti.vrge.probe (PID 31747), период 1 с
# unix_время	тип	total_KB	mapped_KB	count
1789398259.914098106	any(0)	660	84	13
1789398259.914098106	command	32	32	2
1789398259.914098106	gl	128	128	2
1789398259.914098106	vk_any	896	896	14
1789398259.914098106	vk_cmdbuffer	664	664	20
1789398259.914098106	vk_descriptorpo	528	528	10
1789398259.914098106	vk_device	212	212	10
1789398259.914098106	vk_devicememory	298712	229376	7
1789398259.914098106	vk_image	224	224	3
1789398259.914098106	vk_queue	8232	8232	3
1789398260.937072010	any(0)	660	84	13
1789398260.937072010	command	32	32	2
1789398260.937072010	gl	128	128	2
1789398260.937072010	vk_any	768	768	12
1789398260.937072010	vk_cmdbuffer	664	664	20
1789398260.937072010	vk_descriptorpo	528	528	10
1789398260.937072010	vk_device	212	212	10
1789398260.937072010	vk_devicememory	298712	229376	7
1789398260.937072010	vk_image	224	224	3
1789398260.937072010	vk_queue	8232	8232	3
1789398261.961564195	any(0)	660	84	13
1789398261.961564195	command	32	32	2
1789398261.961564195	gl	128	128	2
1789398261.961564195	vk_any	896	896	14
1789398261.961564195	vk_cmdbuffer	680	680	21
1789398261.961564195	vk_descriptorpo	528	528	10
1789398261.961564195	vk_device	212	212	10
1789398261.961564195	vk_devicememory	298712	229376	7
1789398261.961564195	vk_image	224	224	3
1789398261.961564195	vk_queue	8232	8232	3
1789398262.984793203	any(0)	660	84	13
1789398262.984793203	command	32	32	2
1789398262.984793203	gl	128	128	2
1789398262.984793203	vk_any	896	896	14
1789398262.984793203	vk_cmdbuffer	680	680	21
1789398262.984793203	vk_descriptorpo	528	528	10
1789398262.984793203	vk_device	212	212	10
1789398262.984793203	vk_devicememory	298712	229376	7
1789398262.984793203	vk_image	224	224	3
1789398262.984793203	vk_queue	8232	8232	3
1789398264.008712264	any(0)	660	84	13
1789398264.008712264	command	32	32	2
1789398264.008712264	gl	128	128	2
1789398264.008712264	vk_any	896	896	14
1789398264.008712264	vk_cmdbuffer	680	680	21
1789398264.008712264	vk_descriptorpo	528	528	10
1789398264.008712264	vk_device	212	212	10
1789398264.008712264	vk_devicememory	298712	229376	7
1789398264.008712264	vk_image	224	224	3
1789398264.008712264	vk_queue	8232	8232	3
1789398265.032263824	any(0)	660	84	13
1789398265.032263824	command	32	32	2
1789398265.032263824	gl	128	128	2
1789398265.032263824	vk_any	768	768	12
1789398265.032263824	vk_cmdbuffer	680	680	21
1789398265.032263824	vk_descriptorpo	528	528	10
1789398265.032263824	vk_device	212	212	10
1789398265.032263824	vk_devicememory	298712	229376	7
1789398265.032263824	vk_image	224	224	3
1789398265.032263824	vk_queue	8232	8232	3
1789398266.056631478	any(0)	660	84	13
1789398266.056631478	command	32	32	2
1789398266.056631478	gl	128	128	2
1789398266.056631478	vk_any	768	768	12
1789398266.056631478	vk_cmdbuffer	680	680	21
1789398266.056631478	vk_descriptorpo	528	528	10
1789398266.056631478	vk_device	212	212	10
1789398266.056631478	vk_devicememory	298712	229376	7
