# unix_начало	unix_конец	серия	режим	проход	направление	N	отрисовок	GPU мед	CPU мед	кадров	к/с	сверх бюджета
1789398614.639	1789398616.639	плато_off	-	0	-	0	0	-	-	-	-	-
1789398617.151	1789398619.652	вызовы	off	0	вверх	0	0	2.847	0.123	135	89.9	0
1789398620.262	1789398622.762	вызовы	off	0	вверх	100	100	3.236	0.239	135	90.0	0
1789398623.372	1789398625.874	вызовы	off	0	вверх	200	200	3.589	0.345	135	89.9	0
1789398626.494	1789398628.994	вызовы	off	0	вверх	300	300	4.071	0.431	135	90.0	0
1789398629.616	1789398632.126	вызовы	off	0	вверх	350	350	4.286	0.568	136	90.1	0
1789398632.748	1789398635.250	вызовы	off	0	вверх	400	400	4.179	0.533	135	90.0	0
1789398635.882	1789398638.393	вызовы	off	0	вверх	450	450	4.562	0.599	136	90.1	0
1789398639.015	1789398641.526	вызовы	off	0	вверх	500	500	5.910	0.820	136	90.0	0
1789398642.159	1789398644.659	вызовы	off	0	вверх	550	550	6.204	0.662	135	90.0	0
1789398645.293	1789398647.793	вызовы	off	0	вверх	600	600	6.071	0.932	135	90.0	0
1789398648.426	1789398650.938	вызовы	off	0	вверх	650	650	6.201	0.899	135	89.9	0
1789398651.581	1789398654.092	вызовы	off	0	вверх	700	700	6.453	0.795	136	90.1	0
1789398654.725	1789398657.238	вызовы	off	0	вверх	750	750	6.719	0.823	135	89.9	0
1789398657.893	1789398660.393	вызовы	off	0	вверх	800	800	6.992	0.890	135	90.0	0
1789398661.045	1789398663.548	вызовы	off	0	вверх	900	900	7.979	0.925	135	90.0	0
1789398664.202	1789398666.703	вызовы	off	0	вверх	1000	1000	8.284	1.039	135	90.0	0
1789398667.366	1789398669.868	вызовы	off	0	вверх	1200	1200	9.143	1.482	135	89.9	0
1789398670.555	1789398673.056	вызовы	off	0	вверх	1600	1600	9.467	1.907	135	89.9	0
1789398675.123	1789398677.123	плато_2x	-	1	-	0	0	-	-	-	-	-
1789398677.635	1789398680.135	вызовы	2x	0	вверх	0	0	2.540	0.112	135	90.0	0
1789398680.746	1789398683.257	вызовы	2x	0	вверх	100	100	1.995	0.246	135	89.9	0
1789398683.866	1789398686.367	вызовы	2x	0	вверх	200	200	2.601	0.361	135	90.0	0
1789398686.987	1789398689.489	вызовы	2x	0	вверх	300	300	3.020	0.677	135	89.9	0
1789398690.122	1789398692.623	вызовы	2x	0	вверх	350	350	2.963	0.476	135	90.0	0
1789398693.254	1789398695.755	вызовы	2x	0	вверх	400	400	3.198	0.992	135	90.0	0
1789398696.388	1789398698.889	вызовы	2x	0	вверх	450	450	3.402	1.142	135	90.0	0
1789398699.522	1789398702.032	вызовы	2x	0	вверх	500	500	3.629	0.920	136	90.1	0
1789398702.666	1789398705.167	вызовы	2x	0	вверх	550	550	3.780	1.003	135	89.9	0
1789398705.799	1789398708.321	вызовы	2x	0	вверх	600	600	4.011	0.885	136	90.0	0
1789398708.955	1789398711.456	вызовы	2x	0	вверх	650	650	4.190	0.869	135	89.9	0
1789398712.087	1789398714.588	вызовы	2x	0	вверх	700	700	4.395	0.931	135	90.0	0
1789398715.231	1789398717.733	вызовы	2x	0	вверх	750	750	4.611	1.138	135	89.9	0
1789398718.376	1789398720.896	вызовы	2x	0	вверх	800	800	6.186	0.924	136	90.1	0
1789398721.552	1789398724.052	вызовы	2x	0	вверх	900	900	6.641	1.032	135	90.0	0
1789398724.708	1789398727.219	вызовы	2x	0	вверх	1000	1000	7.916	1.080	135	90.0	0
1789398727.882	1789398730.383	вызовы	2x	0	вверх	1200	1200	8.657	1.531	135	90.0	0
1789398731.060	1789398733.560	вызовы	2x	0	вверх	1600	1600	8.748	1.983	135	90.0	0
1789398735.606	1789398737.606	плато_2x	-	2	-	0	0	-	-	-	-	-
1789398738.293	1789398740.804	вызовы	2x	1	вниз	1600	1600	9.211	1.995	136	90.1	0
1789398741.482	1789398743.995	вызовы	2x	1	вниз	1200	1200	8.498	1.477	136	90.1	0
1789398744.669	1789398747.176	вызовы	2x	1	вниз	1000	1000	7.969	1.074	135	89.8	0
1789398747.821	1789398750.322	вызовы	2x	1	вниз	900	900	6.348	0.983	135	90.0	0
1789398750.968	1789398753.479	вызовы	2x	1	вниз	800	800	5.850	1.235	135	89.9	0
1789398754.122	1789398756.623	вызовы	2x	1	вниз	750	750	5.909	0.919	135	90.0	0
1789398757.270	1789398759.780	вызовы	2x	1	вниз	700	700	5.332	1.147	135	90.0	0
1789398760.412	1789398762.913	вызовы	2x	1	вниз	650	650	5.340	1.310	135	90.0	0
1789398763.558	1789398766.071	вызовы	2x	1	вниз	600	600	4.052	0.861	135	89.8	0
1789398766.716	1789398769.227	вызовы	2x	1	вниз	550	550	3.832	0.821	135	90.0	0
1789398769.851	1789398772.361	вызовы	2x	1	вниз	500	500	3.573	0.945	135	90.0	0
1789398772.993	1789398775.495	вызовы	2x	1	вниз	450	450	3.396	1.178	135	89.9	0
1789398776.117	1789398778.618	вызовы	2x	1	вниз	400	400	3.181	0.585	135	90.0	0
1789398779.251	1789398781.751	вызовы	2x	1	вниз	350	350	2.999	0.549	135	90.0	0
1789398782.385	1789398784.886	вызовы	2x	1	вниз	300	300	2.780	0.437	135	90.0	0
1789398785.497	1789398788.008	вызовы	2x	1	вниз	200	200	2.501	0.353	136	90.1	0
1789398788.609	1789398791.110	вызовы	2x	1	вниз	100	100	2.187	0.254	135	89.9	0
1789398791.642	1789398794.143	вызовы	2x	1	вниз	0	0	3.326	0.132	135	89.9	0
1789398796.153	1789398798.153	плато_off	-	3	-	0	0	-	-	-	-	-
1789398798.862	1789398801.365	вызовы	off	1	вниз	1600	1600	9.473	1.879	135	90.0	0
1789398802.044	1789398804.545	вызовы	off	1	вниз	1200	1200	8.393	1.436	135	90.0	0
1789398805.202	1789398807.703	вызовы	off	1	вниз	1000	1000	7.812	1.095	135	90.0	0
1789398808.345	1789398810.848	вызовы	off	1	вниз	900	900	8.305	0.964	135	90.0	0
1789398811.494	1789398814.005	вызовы	off	1	вниз	800	800	6.817	0.866	135	89.9	0
1789398814.650	1789398817.161	вызовы	off	1	вниз	750	750	6.513	0.847	135	90.0	0
1789398817.806	1789398820.306	вызовы	off	1	вниз	700	700	6.456	0.782	135	90.0	0
1789398820.940	1789398823.452	вызовы	off	1	вниз	650	650	6.206	0.917	135	89.9	0
1789398824.073	1789398826.586	вызовы	off	1	вниз	600	600	6.087	0.934	135	89.9	0
1789398827.207	1789398829.707	вызовы	off	1	вниз	550	550	5.896	0.985	135	90.0	0
1789398830.339	1789398832.841	вызовы	off	1	вниз	500	500	6.024	0.676	135	89.9	0
1789398833.465	1789398835.974	вызовы	off	1	вниз	450	450	4.427	0.612	136	90.1	0
1789398836.598	1789398839.109	вызовы	off	1	вниз	400	400	5.557	0.663	136	90.0	0
1789398839.733	1789398842.254	вызовы	off	1	вниз	350	350	5.378	0.551	136	90.0	0
1789398842.886	1789398845.399	вызовы	off	1	вниз	300	300	4.131	0.450	136	90.1	0
