# сэмплер частоты GPU, период 0.25 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789399891.704583060	456000000	52	0 28561407 74384888 151011701 1049427699 2667324743 74444 76541 11845 1210238 
1789399891.998837360	456000000	38	0 28561407 74384888 151011701 1049427699 2667428457 74444 76541 11845 1210238 
1789399892.296643327	456000000	38	0 28561407 74384888 151011701 1049427699 2667534421 74444 76541 11845 1210238 
1789399892.598982524	456000000	38	0 28561407 74384888 151011701 1049427699 2667627197 74444 76541 11845 1210238 
1789399892.895094220	492000000	35	0 28561407 74384888 151011701 1049473251 2667708648 74444 76541 11845 1210238 
1789399893.190374510	492000000	35	0 28561407 74384888 151011701 1049584405 2667708648 74444 76541 11845 1210238 
1789399893.484980112	492000000	35	0 28561407 74384888 151011701 1049698908 2667708648 74444 76541 11845 1210238 
1789399893.781167069	492000000	38	0 28561407 74384888 151011701 1049815352 2667708648 74444 76541 11845 1210238 
1789399894.082786734	456000000	38	0 28561407 74384888 151011701 1049824090 2667821220 74444 76541 11845 1210238 
1789399894.378451295	456000000	38	0 28561407 74384888 151011701 1049824090 2667943093 74444 76541 11845 1210238 
1789399894.678641325	456000000	38	0 28561407 74384888 151011701 1049824090 2668067316 74444 76541 11845 1210238 
1789399894.978335678	456000000	40	0 28561407 74384888 151011701 1049824090 2668188925 74444 76541 11845 1210238 
1789399895.278503208	456000000	40	0 28561407 74384888 151011701 1049824090 2668312520 74444 76541 11845 1210238 
1789399895.575026779	456000000	40	0 28561407 74384888 151011701 1049824090 2668423838 74444 76541 11845 1210238 
1789399895.874985298	456000000	38	0 28561407 74384888 151011701 1049824090 2668527342 74444 76541 11845 1210238 
1789399896.172385120	456000000	38	0 28561407 74384888 151011701 1049824090 2668633646 74444 76541 11845 1210238 
1789399896.472603170	456000000	38	0 28561407 74384888 151011701 1049824090 2668745407 74444 76541 11845 1210238 
1789399896.774107055	456000000	37	0 28561407 74384888 151011701 1049824090 2668865840 74444 76541 11845 1210238 
1789399897.074046876	456000000	37	0 28561407 74384888 151011701 1049824090 2668988395 74444 76541 11845 1210238 
1789399897.377410917	456000000	37	0 28561407 74384888 151011701 1049824090 2669109762 74444 76541 11845 1210238 
1789399897.675675217	456000000	37	0 28561407 74384888 151011701 1049824090 2669225498 74444 76541 11845 1210238 
1789399897.971203528	456000000	40	0 28561407 74384888 151011701 1049824090 2669344884 74444 76541 11845 1210238 
1789399898.271584756	456000000	40	0 28561407 74384888 151011701 1049824090 2669466480 74444 76541 11845 1210238 
1789399898.572779786	456000000	40	0 28561407 74384888 151011701 1049824090 2669585915 74444 76541 11845 1210238 
1789399898.870462420	456000000	40	0 28561407 74384888 151011701 1049824090 2669705585 74444 76541 11845 1210238 
1789399899.166346824	456000000	40	0 28561407 74384888 151011701 1049824090 2669825643 74444 76541 11845 1210238 
1789399899.466990656	456000000	40	0 28561407 74384888 151011701 1049824090 2669931523 74444 76541 11845 1210238 
1789399899.763676050	456000000	40	0 28561407 74384888 151011701 1049824090 2670036756 74444 76541 11845 1210238 
1789399900.062842799	456000000	37	0 28561407 74384888 151011701 1049824090 2670142760 74444 76541 11845 1210238 
1789399900.357613974	456000000	37	0 28561407 74384888 151011701 1049824090 2670225400 74444 76541 11845 1210238 
1789399900.652468743	456000000	37	0 28561407 74384888 151011701 1049824090 2670350331 74444 76541 11845 1210238 
1789399900.954625856	456000000	35	0 28561407 74384888 151011701 1049824090 2670488378 74444 76541 11845 1210238 
1789399901.259894220	456000000	35	0 28561407 74384888 151011701 1049824090 2670630880 74444 76541 11845 1210238 
1789399901.561805240	456000000	35	0 28561407 74384888 151011701 1049824090 2670775089 74444 76541 11845 1210238 
1789399901.866588031	456000000	47	0 28561407 74384888 151011701 1049824090 2670919684 74444 76541 11845 1210238 
1789399902.167918009	456000000	47	0 28561407 74384888 151011701 1049824090 2671061359 74444 76541 11845 1210238 
1789399902.469159549	456000000	47	0 28561407 74384888 151011701 1049824090 2671206855 74444 76541 11845 1210238 
1789399902.779858642	456000000	47	0 28561407 74384888 151011701 1049824090 2671352813 74444 76541 11845 1210238 
1789399903.084305496	456000000	47	0 28561407 74384888 151011701 1049824090 2671497141 74444 76541 11845 1210238 
1789399903.390532297	456000000	47	0 28561407 74384888 151011701 1049824090 2671628510 74444 76541 11845 1210238 
1789399903.695235765	456000000	47	0 28561407 74384888 151011701 1049824090 2671755012 74444 76541 11845 1210238 
1789399903.999882097	456000000	43	0 28561407 74384888 151011701 1049824090 2671879389 74444 76541 11845 1210238 
1789399904.301663065	456000000	43	0 28561407 74384888 151011701 1049824090 2672002085 74444 76541 11845 1210238 
1789399904.609511689	456000000	43	0 28561407 74384888 151011701 1049824090 2672128933 74444 76541 11845 1210238 
1789399904.917091876	456000000	40	0 28561407 74384888 151011701 1049824090 2672255633 74444 76541 11845 1210238 
1789399905.223572375	456000000	40	0 28561407 74384888 151011701 1049824090 2672379229 74444 76541 11845 1210238 
1789399905.528893448	456000000	40	0 28561407 74384888 151011701 1049824090 2672504535 74444 76541 11845 1210238 
1789399905.838955926	456000000	40	0 28561407 74384888 151011701 1049824090 2672630544 74444 76541 11845 1210238 
1789399906.145700436	456000000	40	0 28561407 74384888 151011701 1049824090 2672757074 74444 76541 11845 1210238 
1789399906.449375623	456000000	40	0 28561407 74384888 151011701 1049824090 2672881595 74444 76541 11845 1210238 
1789399906.751226642	456000000	40	0 28561407 74384888 151011701 1049824090 2673004723 74444 76541 11845 1210238 
1789399907.052638599	456000000	41	0 28561407 74384888 151011701 1049824090 2673134037 74444 76541 11845 1210238 
1789399907.360882536	456000000	41	0 28561407 74384888 151011701 1049824090 2673279068 74444 76541 11845 1210238 
1789399907.671426630	456000000	41	0 28561407 74384888 151011701 1049824090 2673425182 74444 76541 11845 1210238 
1789399907.982892390	456000000	45	0 28561407 74384888 151011701 1049824090 2673566107 74444 76541 11845 1210238 
1789399908.289128827	456000000	45	0 28561407 74384888 151011701 1049824090 2673676487 74444 76541 11845 1210238 
1789399908.593455732	456000000	45	0 28561407 74384888 151011701 1049824090 2673706545 74444 76541 11845 1210238 
1789399908.909227482	456000000	25	0 28561407 74384888 151011701 1049824090 2673736333 74444 76541 11845 1210238 
1789399909.222607618	456000000	25	0 28561407 74384888 151011701 1049824090 2673766426 74444 76541 11845 1210238 
1789399909.529275357	456000000	25	0 28561407 74384888 151011701 1049824090 2673795199 74444 76541 11845 1210238 
1789399909.820300698	640000000	27	0 28702870 74395841 151023303 1049834615 2673867269 74444 76541 11845 1210238 
1789399910.117303696	599000000	27	0 28758848 74545487 151036168 1049834615 2673867269 74444 76541 11845 1210238 
1789399910.421952112	599000000	27	0 28758848 74788001 151036168 1049834615 2673867269 74444 76541 11845 1210238 
1789399910.721345840	599000000	27	0 28758848 75030525 151036168 1049834615 2673867269 74444 76541 11845 1210238 
1789399911.023290557	599000000	77	0 28758848 75273436 151036168 1049834615 2673867269 74444 76541 11845 1210238 
1789399911.322024598	599000000	77	0 28758848 75513404 151036168 1049834615 2673867269 74444 76541 11845 1210238 
1789399911.622989992	599000000	77	0 28758848 75753591 151036168 1049834615 2673867269 74444 76541 11845 1210238 
1789399911.924366689	599000000	79	0 28758848 75993582 151036168 1049834615 2673867269 74444 76541 11845 1210238 
1789399912.226218750	599000000	79	0 28758848 76116328 151036168 1049834615 2673867269 74444 76541 11845 1210238 
1789399912.524550238	545000000	79	0 28758848 76146947 151103058 1049834615 2673867269 74444 76541 11845 1210238 
1789399912.822197976	545000000	43	0 28758848 76146947 151211045 1049834615 2673867269 74444 76541 11845 1210238 
1789399913.121970141	545000000	43	0 28758848 76146947 151312503 1049834615 2673867269 74444 76541 11845 1210238 
1789399913.415900900	545000000	43	0 28758848 76146947 151415283 1049834615 2673867269 74444 76541 11845 1210238 
1789399913.718024472	492000000	43	0 28758848 76146947 151418282 1049947082 2673867269 74444 76541 11845 1210238 
1789399914.019997835	492000000	35	0 28758848 76146947 151418282 1050063338 2673867269 74444 76541 11845 1210238 
1789399914.319764375	492000000	35	0 28758848 76146947 151418282 1050178387 2673867269 74444 76541 11845 1210238 
1789399914.615897790	456000000	35	0 28758848 76146947 151418282 1050220461 2673943124 74444 76541 11845 1210238 
1789399914.913369435	456000000	39	0 28758848 76146947 151418282 1050220461 2674062430 74444 76541 11845 1210238 
1789399915.207928162	456000000	39	0 28758848 76146947 151418282 1050220461 2674179934 74444 76541 11845 1210238 
1789399915.507164806	456000000	39	0 28758848 76146947 151418282 1050220461 2674299239 74444 76541 11845 1210238 
1789399915.799384939	456000000	40	0 28758848 76146947 151418282 1050220461 2674419216 74444 76541 11845 1210238 
1789399916.099994865	456000000	40	0 28758848 76146947 151418282 1050220461 2674537405 74444 76541 11845 1210238 
1789399916.399605624	456000000	40	0 28758848 76146947 151418282 1050220461 2674656663 74444 76541 11845 1210238 
1789399916.696325602	456000000	40	0 28758848 76146947 151418282 1050220461 2674776883 74444 76541 11845 1210238 
1789399916.999211726	456000000	40	0 28758848 76146947 151418282 1050220461 2674898592 74444 76541 11845 1210238 
1789399917.295977016	456000000	40	0 28758848 76146947 151418282 1050220461 2674964449 74444 76541 11845 1210238 
1789399917.586865534	456000000	40	0 28758848 76146947 151418282 1050220461 2674992224 74444 76541 11845 1210238 
1789399917.877765251	640000000	35	0 28929267 76158249 151429889 1050230840 2675061352 74444 76541 11845 1210238 
1789399918.177564968	640000000	35	0 29224740 76158249 151429889 1050230840 2675061352 74444 76541 11845 1210238 
1789399918.473709425	640000000	35	0 29521814 76158249 151429889 1050230840 2675061352 74444 76541 11845 1210238 
1789399918.775385184	640000000	35	0 29824285 76158249 151429889 1050230840 2675061352 74444 76541 11845 1210238 
1789399919.077895370	640000000	99	0 30124400 76158249 151429889 1050230840 2675061352 74444 76541 11845 1210238 
1789399919.379416859	640000000	99	0 30421125 76158249 151429889 1050230840 2675061352 74444 76541 11845 1210238 
1789399919.673622148	640000000	99	0 30712758 76158249 151429889 1050230840 2675061352 74444 76541 11845 1210238 
1789399919.970129990	640000000	99	0 31009882 76158249 151429889 1050230840 2675061352 74444 76541 11845 1210238 
1789399920.269296531	640000000	99	0 31306754 76158249 151429889 1050230840 2675061352 74444 76541 11845 1210238 
1789399920.565447706	640000000	99	0 31415295 76158249 151429889 1050230840 2675061352 74444 76541 11845 1210238 
1789399920.859839194	599000000	63	0 31423827 76221669 151429889 1050230840 2675061352 74444 76541 11845 1210238 
1789399921.156917088	599000000	63	0 31423827 76293817 151429889 1050230840 2675061352 74444 76541 11845 1210238 
1789399921.457988368	599000000	63	0 31423827 76366552 151429889 1050230840 2675061352 74444 76541 11845 1210238 
1789399921.753452772	545000000	63	0 31423827 76431134 151439014 1050230840 2675061352 74444 76541 11845 1210238 
1789399922.050396135	545000000	24	0 31423827 76431134 151517312 1050230840 2675061352 74444 76541 11845 1210238 
1789399922.345740435	545000000	24	0 31423827 76431134 151592298 1050230840 2675061352 74444 76541 11845 1210238 
1789399922.643679996	545000000	24	0 31423827 76431134 151671272 1050230840 2675061352 74444 76541 11845 1210238 
1789399922.946952058	492000000	25	0 31423827 76431134 151717510 1050263304 2675061352 74444 76541 11845 1210238 
1789399923.244200577	492000000	25	0 31423827 76431134 151717510 1050347555 2675061352 74444 76541 11845 1210238 
1789399923.542889617	492000000	25	0 31423827 76431134 151717510 1050429445 2675061352 74444 76541 11845 1210238 
1789399923.842958605	492000000	27	0 31423827 76431134 151717510 1050509786 2675061352 74444 76541 11845 1210238 
