# сэмплер частоты GPU, период 0.25 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789436838.237280777	456000000	43	0 34949586 80768937 155718538 1059607942 2690257475 74444 76541 11845 1226164 
1789436838.529654764	456000000	43	0 34949586 80768937 155718538 1059607942 2690361590 74444 76541 11845 1226164 
1789436838.824937970	456000000	43	0 34949586 80768937 155718538 1059607942 2690466736 74444 76541 11845 1226164 
1789436839.125582948	456000000	35	0 34949586 80768937 155718538 1059607942 2690557628 74444 76541 11845 1226164 
1789436839.421745269	456000000	35	0 34949586 80768937 155718538 1059607942 2690672456 74444 76541 11845 1226164 
1789436839.716277955	456000000	35	0 34949586 80768937 155718538 1059607942 2690792929 74444 76541 11845 1226164 
1789436840.022418923	456000000	37	0 34949586 80768937 155718538 1059607942 2690917589 74444 76541 11845 1226164 
1789436840.320426244	456000000	37	0 34949586 80768937 155718538 1059607942 2691039552 74444 76541 11845 1226164 
1789436840.624124608	456000000	37	0 34949586 80768937 155718538 1059607942 2691162851 74444 76541 11845 1226164 
1789436840.921053596	456000000	37	0 34949586 80768937 155718538 1059607942 2691283011 74444 76541 11845 1226164 
1789436841.222075918	456000000	40	0 34949586 80768937 155718538 1059607942 2691409702 74444 76541 11845 1226164 
1789436841.520943031	456000000	40	0 34949586 80768937 155718538 1059607942 2691530038 74444 76541 11845 1226164 
1789436841.819683008	456000000	40	0 34949586 80768937 155718538 1059607942 2691653173 74444 76541 11845 1226164 
1789436842.116086840	456000000	40	0 34949586 80768937 155718538 1059607942 2691767043 74444 76541 11845 1226164 
1789436842.415925568	456000000	40	0 34949586 80768937 155718538 1059607942 2691873580 74444 76541 11845 1226164 
1789436842.713597993	456000000	40	0 34949586 80768937 155718538 1059607942 2691979157 74444 76541 11845 1226164 
1789436843.014276877	456000000	35	0 34949586 80768937 155718538 1059607942 2692089925 74444 76541 11845 1226164 
1789436843.317996647	456000000	35	0 34949586 80768937 155718538 1059607942 2692208629 74444 76541 11845 1226164 
1789436843.621513605	456000000	35	0 34949586 80768937 155718538 1059607942 2692331166 74444 76541 11845 1226164 
1789436843.920764884	456000000	35	0 34949586 80768937 155718538 1059607942 2692451051 74444 76541 11845 1226164 
1789436844.220729654	456000000	39	0 34949586 80768937 155718538 1059607942 2692571067 74444 76541 11845 1226164 
1789436844.523971142	456000000	39	0 34949586 80768937 155718538 1059607942 2692689862 74444 76541 11845 1226164 
1789436844.821700235	456000000	39	0 34949586 80768937 155718538 1059607942 2692809533 74444 76541 11845 1226164 
1789436845.117635420	456000000	40	0 34949586 80768937 155718538 1059607942 2692927794 74444 76541 11845 1226164 
