# сэмплер частоты GPU, период 0.5 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789437238.571168366	456000000	43	0 41594637 84556184 169461286 1070553529 2717032078 74444 76541 11845 1242547 
1789437239.118369827	456000000	43	0 41594637 84556184 169461286 1070553529 2717227886 74444 76541 11845 1242547 
1789437239.668976184	456000000	35	0 41594637 84556184 169461286 1070553529 2717413531 74444 76541 11845 1242547 
1789437240.216952697	456000000	35	0 41594637 84556184 169461286 1070553529 2717657964 74444 76541 11845 1242547 
1789437240.770303429	456000000	40	0 41594637 84556184 169461286 1070553529 2717914403 74444 76541 11845 1242547 
1789437241.317211556	456000000	40	0 41594637 84556184 169461286 1070553529 2718154131 74444 76541 11845 1242547 
1789437241.869206820	456000000	44	0 41594637 84556184 169461286 1070553529 2718412279 74444 76541 11845 1242547 
1789437242.420788645	456000000	45	0 41594637 84556184 169461286 1070553529 2718650561 74444 76541 11845 1242547 
1789437242.971005940	456000000	45	0 41594637 84556184 169461286 1070553529 2718851358 74444 76541 11845 1242547 
1789437243.524465630	456000000	38	0 41594637 84556184 169461286 1070553529 2719091287 74444 76541 11845 1242547 
1789437244.076271883	456000000	38	0 41594637 84556184 169461286 1070553529 2719347939 74444 76541 11845 1242547 
1789437244.635566887	456000000	46	0 41594637 84556184 169461286 1070553529 2719602765 74444 76541 11845 1242547 
1789437245.194378974	456000000	46	0 41594637 84556184 169461286 1070553529 2719852409 74444 76541 11845 1242547 
1789437245.747746477	456000000	45	0 41594637 84556184 169461286 1070553529 2720105747 74444 76541 11845 1242547 
1789437246.306171793	456000000	45	0 41594637 84556184 169461286 1070553529 2720354014 74444 76541 11845 1242547 
1789437246.869186016	456000000	44	0 41594637 84556184 169461286 1070553529 2720585509 74444 76541 11845 1242547 
1789437247.423333467	456000000	38	0 41594637 84556184 169461286 1070553529 2720794454 74444 76541 11845 1242547 
1789437247.978111022	456000000	38	0 41594637 84556184 169461286 1070553529 2721057394 74444 76541 11845 1242547 
1789437248.528116025	456000000	45	0 41594637 84556184 169461286 1070553529 2721296709 74444 76541 11845 1242547 
1789437249.081149361	456000000	45	0 41594637 84556184 169461286 1070553529 2721564365 74444 76541 11845 1242547 
1789437249.641081969	456000000	47	0 41594637 84556184 169461286 1070553529 2721829752 74444 76541 11845 1242547 
1789437250.191415461	456000000	47	0 41594637 84556184 169461286 1070553529 2722088606 74444 76541 11845 1242547 
1789437250.741302964	456000000	46	0 41594637 84556184 169461286 1070553529 2722314088 74444 76541 11845 1242547 
1789437251.291119060	456000000	46	0 41594637 84556184 169461286 1070553529 2722542445 74444 76541 11845 1242547 
1789437251.841728698	456000000	41	0 41594637 84556184 169461286 1070553529 2722772049 74444 76541 11845 1242547 
1789437252.399880369	456000000	41	0 41594637 84556184 169461286 1070553529 2723004302 74444 76541 11845 1242547 
1789437252.954682195	456000000	41	0 41594637 84556184 169461286 1070553529 2723195035 74444 76541 11845 1242547 
1789437253.498442509	456000000	37	0 41594637 84556184 169461286 1070553529 2723420882 74444 76541 11845 1242547 
1789437254.055370221	456000000	37	0 41594637 84556184 169461286 1070553529 2723659367 74444 76541 11845 1242547 
1789437254.607684755	456000000	44	0 41594637 84556184 169461286 1070553529 2723924365 74444 76541 11845 1242547 
1789437255.164308196	456000000	44	0 41594637 84556184 169461286 1070553529 2724180618 74444 76541 11845 1242547 
1789437255.718715751	456000000	43	0 41594637 84556184 169461286 1070553529 2724399404 74444 76541 11845 1242547 
1789437256.283476849	456000000	43	0 41594637 84556184 169461286 1070553529 2724664349 74444 76541 11845 1242547 
1789437256.841675655	456000000	46	0 41594637 84556184 169461286 1070553529 2724939069 74444 76541 11845 1242547 
1789437257.400699825	456000000	48	0 41594637 84556184 169461286 1070553529 2725207037 74444 76541 11845 1242547 
1789437257.957186026	456000000	48	0 41594637 84556184 169461286 1070553529 2725424457 74444 76541 11845 1242547 
1789437258.508997488	456000000	41	0 41594637 84556184 169461286 1070553529 2725678758 74444 76541 11845 1242547 
1789437259.067957752	456000000	41	0 41594637 84556184 169461286 1070553529 2725954094 74444 76541 11845 1242547 
1789437259.630963589	456000000	49	0 41594637 84556184 169461286 1070553529 2726225903 74444 76541 11845 1242547 
1789437260.193680624	456000000	49	0 41594637 84556184 169461286 1070553529 2726514463 74444 76541 11845 1242547 
1789437260.742650835	456000000	51	0 41594637 84556184 169461286 1070553529 2726777407 74444 76541 11845 1242547 
1789437261.293796411	492000000	51	0 41594637 84556184 169461286 1070660222 2726963317 74444 76541 11845 1242547 
1789437261.841813184	492000000	49	0 41594637 84556184 169461286 1070918208 2726963317 74444 76541 11845 1242547 
1789437262.392330687	456000000	47	0 41594637 84556184 169461286 1071101178 2727045781 74444 76541 11845 1242547 
1789437262.942437669	456000000	47	0 41594637 84556184 169461286 1071101178 2727319105 74444 76541 11845 1242547 
1789437263.486581994	456000000	46	0 41594637 84556184 169461286 1071101178 2727572566 74444 76541 11845 1242547 
