# unix_время	FPS_прил	FPS_дисплей	Stale	ASW	GPU_МГц	App_мс	CPU&GPU_мс	Preempt	Temp_C	GPU%	строка
1789437239.000	90	90	0		492	3.31	5.15	358	37.0	0.46	FPS=90/90,Prd=24ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,2208/492MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=3196MHz,Free=3396MB,PLS=0,Temp=37.0C/0.0C,TW=1.08ms,App=3.31ms,GD=0.00ms,CPU&GPU=5.15ms,LCnt=1(DR91,LM0),GPU%=0.46,CPU%=0.16(W0.21),CFL=13.17/18.14,ICFLp95=16.68,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=358,PoseAgeP95=0.00
1789437239.001	91	90	1		492	3.52	6.53	361	37.0	0.52	FPS=91/90,Prd=25ms,Tear=0,Early=0,Stale=1,Stale2/5/10/max=0/0/0/1,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/3,2208/492MHz,OC=3F,TA=0/0/0,SP=N/N/N,Mem=3196MHz,Free=3667MB,PLS=0,Temp=37.0C/0.0C,TW=1.81ms,App=3.52ms,GD=0.32ms,CPU&GPU=6.53ms,LCnt=4(DR90,LM3),GPU%=0.52,CPU%=0.14(W0.18),CFL=13.14/17.23,ICFLp95=16.44,LD=0,SF=0.60,DpuScale=1.00,LP=0,DVFS=0,Preempt=361,PoseAgeP95=0.00
1789437240.000	91	90	0		492	2.74	4.52	180	37.0	0.40	FPS=91/90,Prd=24ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,2208/492MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=3196MHz,Free=3396MB,PLS=0,Temp=37.0C/0.0C,TW=1.03ms,App=2.74ms,GD=0.00ms,CPU&GPU=4.52ms,LCnt=1(DR90,LM0),GPU%=0.40,CPU%=0.18(W0.19),CFL=13.51/17.99,ICFLp95=17.14,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=180,PoseAgeP95=0.00
1789437240.001	91	90	1		492	3.52	6.53	361	37.0	0.52	FPS=91/90,Prd=25ms,Tear=0,Early=0,Stale=1,Stale2/5/10/max=0/0/0/1,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/3,2208/492MHz,OC=3F,TA=0/0/0,SP=N/N/N,Mem=3196MHz,Free=3667MB,PLS=0,Temp=37.0C/0.0C,TW=1.81ms,App=3.52ms,GD=0.32ms,CPU&GPU=6.53ms,LCnt=4(DR90,LM3),GPU%=0.52,CPU%=0.14(W0.18),CFL=13.14/17.23,ICFLp95=16.44,LD=0,SF=0.60,DpuScale=1.00,LP=0,DVFS=0,Preempt=361,PoseAgeP95=0.00
1789437241.000	84	90	9		456	3.45	3.86	170	37.0	0.40	FPS=84/90,Prd=23ms,Tear=0,Early=15,Stale=9,Stale2/5/10/max=0/1/0/9,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1382/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1708MHz,Free=3396MB,PLS=0,Temp=37.0C/0.0C,TW=1.38ms,App=3.45ms,GD=0.00ms,CPU&GPU=3.86ms,LCnt=1(DR90,LM0),GPU%=0.40,CPU%=0.15(W0.20),CFL=12.99/17.15,ICFLp95=16.25,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=170,PoseAgeP95=0.00
1789437242.001	91	90	0		456	3.29	5.69	178	37.0	0.44	FPS=91/90,Prd=26ms,Tear=0,Early=6,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1382/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1708MHz,Free=3396MB,PLS=0,Temp=37.0C/0.0C,TW=1.20ms,App=3.29ms,GD=0.00ms,CPU&GPU=5.69ms,LCnt=1(DR90,LM0),GPU%=0.44,CPU%=0.18(W0.23),CFL=12.79/16.77,ICFLp95=15.96,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=178,PoseAgeP95=0.00
1789437243.001	90	90	0		456	3.53	5.42	180	37.0	0.45	FPS=90/90,Prd=24ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1382/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1708MHz,Free=3396MB,PLS=0,Temp=37.0C/0.0C,TW=1.33ms,App=3.53ms,GD=0.00ms,CPU&GPU=5.42ms,LCnt=1(DR90,LM0),GPU%=0.45,CPU%=0.20(W0.22),CFL=12.76/16.89,ICFLp95=16.00,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=180,PoseAgeP95=0.00
1789437244.001	90	90	0		456	3.14	3.93	182	37.0	0.41	FPS=90/90,Prd=24ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1382/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1708MHz,Free=3396MB,PLS=0,Temp=37.0C/0.0C,TW=1.39ms,App=3.14ms,GD=0.00ms,CPU&GPU=3.93ms,LCnt=1(DR91,LM0),GPU%=0.41,CPU%=0.20(W0.24),CFL=12.76/16.82,ICFLp95=15.96,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=182,PoseAgeP95=0.00
1789437245.001	91	90	1		456	3.45	5.42	182	37.0	0.44	FPS=91/90,Prd=23ms,Tear=0,Early=0,Stale=1,Stale2/5/10/max=0/0/0/1,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1382/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1708MHz,Free=3396MB,PLS=0,Temp=37.0C/0.0C,TW=1.38ms,App=3.45ms,GD=0.00ms,CPU&GPU=5.42ms,LCnt=1(DR90,LM0),GPU%=0.44,CPU%=0.21(W0.24),CFL=12.66/16.89,ICFLp95=15.98,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=182,PoseAgeP95=0.00
1789437246.001	90	90	0		456	3.49	5.38	182	37.0	0.45	FPS=90/90,Prd=24ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1382/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1708MHz,Free=3396MB,PLS=0,Temp=37.0C/0.0C,TW=1.41ms,App=3.49ms,GD=0.00ms,CPU&GPU=5.38ms,LCnt=1(DR91,LM0),GPU%=0.45,CPU%=0.22(W0.27),CFL=12.87/16.85,ICFLp95=16.04,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=182,PoseAgeP95=0.00
