# секунда	частота	CPU мс	GPU мс	draw calls	клок GPU Гц	unix_время
0	90.0	0.911	6.978	800	-1	1789437292.833
1	90.0	0.823	6.496	800	-1	1789437293.834
2	90.0	0.873	6.501	800	-1	1789437294.834
3	90.0	0.823	6.665	800	-1	1789437295.834
4	90.0	0.874	8.209	800	-1	1789437296.844
5	90.0	0.781	7.543	800	-1	1789437297.845
6	90.0	0.920	6.540	800	-1	1789437298.845
7	90.0	0.820	8.265	800	-1	1789437299.856
8	90.0	0.799	7.906	800	-1	1789437300.856
9	90.0	0.791	8.061	800	-1	1789437301.856
10	90.0	0.815	8.044	800	-1	1789437302.857
11	90.0	0.788	6.824	800	-1	1789437303.857
12	90.0	0.836	8.176	800	-1	1789437304.868
13	90.0	0.806	6.615	800	-1	1789437305.869
14	90.0	0.829	6.644	800	-1	1789437306.869
15	90.0	0.701	7.492	800	-1	1789437307.868
16	90.0	0.829	7.755	800	-1	1789437308.868
17	90.0	0.778	6.563	800	-1	1789437309.869
18	90.0	0.774	6.527	800	-1	1789437310.869
19	90.0	0.788	6.588	800	-1	1789437311.880
20	90.0	0.780	6.526	800	-1	1789437312.880
21	90.0	0.864	7.612	800	-1	1789437313.880
22	90.0	0.813	6.581	800	-1	1789437314.880
23	90.0	0.800	7.875	800	-1	1789437315.879
24	90.0	0.697	7.617	800	-1	1789437316.880
25	90.0	0.911	8.181	800	-1	1789437317.891
26	90.0	0.939	7.835	800	-1	1789437318.891
27	90.0	0.701	6.643	800	-1	1789437319.891
28	90.0	0.781	6.651	800	-1	1789437320.892
29	90.0	0.885	8.178	800	-1	1789437321.902
30	90.0	0.848	7.846	800	-1	1789437322.902
31	90.0	0.886	8.258	800	-1	1789437323.903
32	90.0	0.894	6.529	800	-1	1789437324.903
33	90.0	0.866	6.952	800	-1	1789437325.903
34	90.0	0.827	6.613	800	-1	1789437326.904
35	90.0	0.996	8.000	800	-1	1789437327.913
36	90.0	0.739	8.206	800	-1	1789437328.914
37	90.0	0.822	7.974	800	-1	1789437329.914
38	90.0	0.818	7.007	800	-1	1789437330.914
39	90.0	0.941	7.704	800	-1	1789437331.914
40	90.0	0.840	8.146	800	-1	1789437332.914
41	90.0	0.817	7.673	800	-1	1789437333.914
42	90.0	0.834	8.206	800	-1	1789437334.914
43	90.0	0.834	6.507	800	-1	1789437335.915
44	90.0	0.867	8.050	800	-1	1789437336.926
45	90.0	0.880	8.001	800	-1	1789437337.927
46	90.0	1.008	6.937	800	-1	1789437338.926
47	90.0	0.896	7.611	800	-1	1789437339.926
48	90.0	0.865	7.596	800	-1	1789437340.926
49	90.0	0.853	7.929	800	-1	1789437341.926
50	90.0	0.796	8.168	800	-1	1789437342.926
51	90.0	0.912	7.675	800	-1	1789437343.926
52	90.0	0.785	6.653	800	-1	1789437344.927
53	90.0	0.914	7.677	800	-1	1789437345.927
54	90.0	0.790	6.514	800	-1	1789437346.927
55	90.0	0.818	7.017	800	-1	1789437347.927
56	90.0	0.747	6.713	800	-1	1789437348.927
57	90.0	0.769	8.044	800	-1	1789437349.927
58	90.0	0.616	7.385	800	-1	1789437350.927
59	90.0	0.784	7.765	800	-1	1789437351.928
60	90.0	0.782	8.211	800	-1	1789437352.927
61	90.0	0.774	7.637	800	-1	1789437353.928
62	90.0	0.784	7.644	800	-1	1789437354.927
63	90.0	0.805	8.004	800	-1	1789437355.927
64	90.0	0.749	8.543	800	-1	1789437356.938
65	90.0	0.790	8.200	800	-1	1789437357.939
66	90.0	0.795	8.403	800	-1	1789437358.939
67	90.0	0.799	7.561	800	-1	1789437359.939
68	90.0	0.974	8.579	800	-1	1789437360.949
69	90.0	0.871	6.471	800	-1	1789437361.950
70	90.0	0.677	6.510	800	-1	1789437362.951
71	90.0	0.807	6.673	800	-1	1789437363.951
72	90.0	0.745	7.775	800	-1	1789437364.951
73	90.0	0.687	6.520	800	-1	1789437365.950
74	90.0	0.779	6.510	800	-1	1789437366.951
75	90.0	0.850	6.675	800	-1	1789437367.951
76	90.0	0.843	6.536	800	-1	1789437368.962
77	90.0	0.826	6.648	800	-1	1789437369.963
78	90.0	0.822	6.659	800	-1	1789437370.963
79	90.0	0.792	6.704	800	-1	1789437371.974
80	90.0	0.776	6.966	800	-1	1789437372.973
81	90.0	0.858	7.744	800	-1	1789437373.973
82	90.0	0.897	6.792	800	-1	1789437374.974
83	90.0	0.798	6.637	800	-1	1789437375.974
84	90.0	0.766	6.581	800	-1	1789437376.974
85	90.0	0.769	6.753	800	-1	1789437377.974
86	90.0	0.778	6.836	800	-1	1789437378.974
87	90.0	0.922	6.508	800	-1	1789437379.985
88	90.0	0.819	6.894	800	-1	1789437380.985
89	90.0	1.017	6.763	800	-1	1789437381.996
90	90.0	0.841	8.049	800	-1	1789437383.007
91	90.0	0.728	7.663	800	-1	1789437384.007
92	90.0	0.856	6.639	800	-1	1789437385.008
93	90.0	0.791	8.333	800	-1	1789437386.018
94	90.0	0.830	8.304	800	-1	1789437387.018
95	90.0	0.857	8.477	800	-1	1789437388.019
96	90.0	0.833	6.770	800	-1	1789437389.019
97	90.0	0.829	6.555	800	-1	1789437390.030
98	90.0	0.901	6.534	800	-1	1789437391.031
99	90.0	0.896	6.934	800	-1	1789437392.030
100	90.0	0.742	6.588	800	-1	1789437393.031
101	90.0	0.864	6.486	800	-1	1789437394.042
102	90.0	0.855	6.507	800	-1	1789437395.043
103	90.0	0.758	7.723	800	-1	1789437396.052
104	90.0	0.875	6.961	800	-1	1789437397.053
105	90.0	0.849	6.842	800	-1	1789437398.053
106	90.0	0.681	7.747	800	-1	1789437399.065
107	90.0	0.799	7.832	800	-1	1789437400.075
108	90.0	0.861	8.068	800	-1	1789437401.075
109	90.0	0.953	6.909	800	-1	1789437402.075
110	90.0	0.936	8.234	800	-1	1789437403.075
