# unix_время	событие	поверхность	радиус_см	ячейка_см	ячейка_факт_см	уровень_глобуса	вращение_рукой	папка	задание	попадание	мс_от_задания	подробности
# сессия 2026-09-15T23:51:33
1789498293.781	folder	globe	20.0	1.5	3.5	8	ball					{ "folder": "", "view": "browse", "items": 5 }
1789498293.781	toggle	globe	20.0	1.5	3.5	8	ball					{ "open": true }
1789498297.642	intent	globe	20.0	1.5	3.5	8	ball					{ "do": "none", "view": "browse", "folder": "" }
1789498307.337	настройка_значение	lens	8.0	1.5	1.5	7	ball					radius_cm=8.0
1789498312.177	toggle	globe	20.0	1.5	3.5	8	ball					{ "open": false }
1789498312.177	самопроверка	globe	20.0	1.5	3.5	8	ball			FAIL		{ "глобус уровень 8, 642 ячеек, вращение": { "gpu95": 2.91199994087219, "cpu95": 0.19099999964237, "proc95": 2.534, "over": 0 }, "глобус крупный: уровень 1, 32 ячеек, радиус 20.0 см, вращение": { "gpu95": 1.89999997615814, "cpu95": 0.18400000035763, "proc95": 2.813, "over": 0 }, "линза α=0.037, 700 ячеек, вращение": { "gpu95": 3.60999989509583, "cpu95": 0.15899999439716, "proc95": 62.493, "over": 0 } }
1789498312.179	folder	globe	11.0	2.5	2.6	6	ball					{ "folder": "", "view": "browse", "items": 5 }
1789498312.179	toggle	globe	11.0	2.5	2.6	6	ball					{ "open": true }
1789498312.179	мастер_старт	globe	11.0	2.5	2.6	6	ball					
1789498326.146	мастер_значение	lens	11.0	2.5	2.5	6	ball					surface=lens
1789498340.347	мастер_значение	globe	11.0	2.5	2.6	6	ball					surface=globe
1789498349.003	мастер_значение	lens	11.0	2.5	2.5	6	ball					surface=lens
1789498353.492	мастер_значение	globe	11.0	2.5	2.6	6	ball					surface=globe
1789498355.647	панель_кнопка	globe	11.0	2.5	2.6	6	ball					next
1789498355.647	мастер_подтверждено	globe	11.0	2.5	2.6	6	ball					surface
1789498365.303	мастер_значение	globe	11.0	2.5	2.6	6	stand					hand_rotation=stand
1789498372.037	мастер_значение	globe	11.0	2.5	2.6	6	face					hand_rotation=face
1789498377.970	мастер_значение	globe	11.0	2.5	2.6	6	ball					hand_rotation=ball
1789498379.204	мастер_значение	globe	11.0	2.5	2.6	6	face					hand_rotation=face
1789498380.671	мастер_значение	globe	11.0	2.5	2.6	6	ball					hand_rotation=ball
1789498381.993	панель_кнопка	globe	11.0	2.5	2.6	6	ball					next
1789498381.993	мастер_подтверждено	globe	11.0	2.5	2.6	6	ball					hand_rotation
1789498387.351	мастер_значение	globe	10.5	2.5	2.48	6	ball					radius_cm=10.5
1789498387.428	мастер_значение	globe	10.0	2.5	2.37	6	ball					radius_cm=10.0
1789498387.444	мастер_значение	globe	10.5	2.5	2.48	6	ball					radius_cm=10.5
1789498387.503	мастер_значение	globe	10.0	2.5	2.37	6	ball					radius_cm=10.0
1789498387.532	мастер_значение	globe	9.5	2.5	2.62	5	ball					radius_cm=9.5
1789498387.556	мастер_значение	globe	9.0	2.5	2.48	5	ball					radius_cm=9.0
