# unix_время	событие	поверхность	радиус_см	ячейка_см	ячейка_факт_см	уровень_глобуса	вращение_рукой	ввод	профиль	папка	задание	попадание	мс_от_задания	подробности
# сессия 2026-09-20T11:28:12
1789885692.684	профиль_открыт	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e					Основной; создан, перенесено ["settings_controllers.cfg", "settings_hands.cfg", "settings_common.cfg", "favorites.cfg"]
1789885692.729	сессия_openxr	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e					session_begun кадр 0
1789885692.811	модели_контроллеров	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e					FB
1789885693.399	сессия_openxr	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e					session_visible кадр 1
1789885693.399	сессия_openxr	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e					session_focussed кадр 1
1789885694.448	folder	globe	20.0	1.5	3.52	13	face	controllers	p18fd0f41789e					{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789885694.449	toggle	globe	20.0	1.5	3.52	13	face	controllers	p18fd0f41789e					{ "open": true }
1789885698.812	folder	globe	20.0	15.0	15.07	1	face	controllers	p18fd0f41789e					{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789885703.325	folder	lens	20.0	1.5	1.5	13	face	controllers	p18fd0f41789e					{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789885707.832	folder	globe_hex	20.0	1.5	3.52	13	face	controllers	p18fd0f41789e					{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789885712.427	folder	octa	20.0	1.5	3.65	21	face	controllers	p18fd0f41789e					{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789885717.008	folder	rings	20.0	1.5	3.29	16	face	controllers	p18fd0f41789e					{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789885721.617	folder	fib	20.0	1.5	3.47	27	face	controllers	p18fd0f41789e					{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
